fc_var,condition,seed_target,persistence_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,8,0.06293896871273548,0.08156806424568465,0.7716128768627148,0.44034374531397535,7.341064743405666e-12,-26.82740430289499,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,8,0.027394348746421125,0.04164679994884893,0.6577779992716649,0.5106807934605393,2.527487415966114e-09,73.79957192475365,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,8,0.09405534059913707,0.03383422627228838,2.779887438305993,0.005437774353013847,1.329281715826625e-12,92.82336111757652,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,8,0.05489481605557606,0.030267449023931473,1.8136584953747683,0.06973031869068747,9.430238072480022e-13,117.91518299126491,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,8,0.09794810856095408,0.042644946928510626,2.2968280093102913,0.021628583067733853,0.00030561358644316935,70.12472718177239,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,8,0.03810680390088564,0.040346933904259745,0.9444783088427545,0.344925281202618,7.69112294994495e-11,79.48609176782733,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,8,0.062329426678408205,0.030857543185768284,2.019908918320982,0.04339283604773447,9.637105077853981e-13,115.51564395171812,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,8,0.14740013987096792,0.10420939300102659,1.41446116924907,0.157226540885413,1.0286161156317506e-11,-49.16897008596578,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,8,0.08455829091304096,0.04232639573592253,1.9977673374460303,0.04574188998224327,8.758389563021665e-12,-38.818299932493346,True,True,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,8,0.08739677139604354,0.09403321452076456,0.9294244788020561,0.3526691467183318,7.547004522390072e-12,-26.540870976464646,True,False,powell,sensitivity
