persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
neg_persist_crossrun_mean_z_R,C5SPGN,C5SER,131,0.11569416638348029,0.4034792592783956,0.2867412976577633,0.7750249889084251,0.3292913582388251,0.5069293925834903,0.2534646962917452,-0.01042375381632852,0.6909273811081393,0.20864851570138132,-0.23946618022675215,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,131,0.04522244657184016,0.17405713586020327,0.2598138039463161,0.7956507971522014,0.07113592038864996,0.7393939039433977,0.36969695197169883,-0.004490256360603767,0.6913476420606296,0.26286221934400966,-0.15455315042504503,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,-1.0583667009951765,1.0254155197505708,-1.0321344670623096,0.3067858261829986,-2.6086828555967343,0.06818599040239615,0.03409299520119807,0.022524058740114036,0.41390882468819223,0.3920331846079337,0.04128309880481851,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,0.1907430310785353,0.2598515240244633,0.7340462281090108,0.4662176174933288,0.6570757198967834,0.06981577327821427,0.034907886639107134,-0.004127381607332164,0.5540419321733522,0.3711268942749305,0.00831548712585195,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,-1.560079669816841,2.350349960032439,-0.6637648419792384,0.5097731794618675,1.2386157841717385,0.701207125226672,0.350603562613336,0.055232544644064484,0.38229078685342244,0.39049106471372497,0.03885129435625867,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,131,-0.48494100200168777,0.623026634886341,-0.7783631948418317,0.4385682648600885,-1.7424877292236036,0.014844150544753671,0.007422075272376836,0.00745575359962735,0.5579846122797352,0.41256668161508636,0.07992371819230393,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,131,-0.42239268991181567,0.4836215932458394,-0.8733950175320248,0.38496773786575955,-0.23113186000854857,0.6718192954427142,0.3359096477213571,0.00447173789556393,0.6506640010689551,0.21181176295424708,-0.23451169657768522,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,131,-0.19003580035585854,0.20808918161735976,-0.9132420959072333,0.3637604196526957,-0.12477497629368531,0.5951613495388884,0.2975806747694442,0.0017462088386031543,0.6810541910574477,0.26960868553350414,-0.14398639615234288,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,C5SER,83,-1.1104580143206835,0.5461516835454933,-2.033241035003025,0.04714690101227301,-0.9549781415252094,0.27934607031281705,0.13967303515640853,0.026769923235333414,0.12415436784707934,0.4026715091308708,0.05805891824483478,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,C5SER,83,0.09669697102704075,0.14396788611801375,0.6716565314279606,0.5047755040423749,0.18025121356686946,0.4373162110728087,0.21865810553640436,-0.001959741029335495,0.6660649782823709,0.3314247190828188,-0.05429178913863186,sensitivity
pos_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,-0.004303912514207697,1.2836958324124976,-0.0033527510221165037,0.9973377262492004,-0.24819612949709846,0.9042527207684727,0.45212636038423637,0.015498291607052288,0.70184435340975,0.3702823751478723,0.0069837454254909614,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGP,C5SER,131,-0.5649397964290102,0.432006492686409,-1.307711356178845,0.1945818440609063,-0.8444008640130944,0.14150771866872358,0.07075385933436179,0.015300941102683416,0.2858889270764159,0.3872697687263916,0.04030204740278209,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN,C5SER,131,-0.21623748765045453,0.3283958029838896,-0.6584660512883067,0.5120611306065395,-0.3649317798160393,0.4011543089928775,0.20057715449643876,0.0034172630338021887,0.7531191215334812,0.2115808028500875,-0.23487344131914,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,131,-0.09850789938827939,0.14099963785322167,-0.6986393787112029,0.4867304165242917,-0.20486233591429764,0.2730588394684385,0.13652941973421925,0.0013112163700093795,0.7786327585377886,0.27249496708995846,-0.1394657141964506,sensitivity
