fc_var,condition,seed_target,affect_var,n,r,p
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,148,0.09575526868042988,0.2469872009516911
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.006022007435562462,0.9420923065028517
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,148,0.003282144299261814,0.9684195553768771
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,93,0.07897519185771598,0.4517594259073745
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,93,-0.23505743124839018,0.023327297881877027
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,93,-0.06900661433828002,0.5110140967821778
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,148,-0.02362956681452024,0.7755916726482006
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,148,-0.1884918679431412,0.02177529581312608
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,148,-0.1910298320895829,0.02003275915920178
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,93,0.13498482389815344,0.19703191852957186
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,93,-0.22593729298205226,0.029433320853368108
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,93,-0.09542867808671603,0.36286831773827005
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,148,0.0388100212648155,0.6395575519817378
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,148,-0.08741356848192224,0.29076774158126156
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.10736229864859623,0.19401199455469975
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,93,-0.019897621685107517,0.8498504560261909
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,93,-0.08201168732194371,0.4345006955445315
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,93,0.10430393387805843,0.3197441752847335
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,148,-0.10360328905380459,0.2101778216352118
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,148,-0.08623967350949474,0.29731975962402324
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.07188607158946442,0.3852625892021224
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,93,-0.05092822473185334,0.6278137086737104
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,93,-0.038704219317482434,0.71261977556041
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,93,0.020130152898385018,0.848116627648895
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,148,-0.06424280462273209,0.4379128405063913
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,148,-0.11186274839455072,0.17586954836132168
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.0944269810442761,0.2536343289579468
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,93,0.09959565203251941,0.34219358445526593
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,93,-0.15601009492739248,0.1353537367692844
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,93,-0.17344185270040308,0.09638900566309047
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,148,0.07975231047500148,0.3352775877857899
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,148,-0.08866263929939408,0.2839024688940278
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.10504936667306347,0.20384833566014424
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,93,-0.014470039509625174,0.890506049366507
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,93,0.2703510189958842,0.008769611632160399
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,93,0.10934481087987462,0.296784425914463
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,148,0.0220084592875383,0.7906193538546638
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,148,0.004139175842739526,0.9601793660890648
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,148,0.00580343578913535,0.9441906343341762
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,93,-0.10888402595381097,0.2988369556836552
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,93,0.3646490127035817,0.000326199046483197
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,93,0.27943054684264745,0.006676906668420163
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,148,0.09589984837427289,0.24627103938604783
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,148,0.049751993914792195,0.5481735791213632
