fc_var,condition,seed_target,affect_var,n,r,p,tier
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,82,0.14350451445063994,0.19837055678771776,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,82,-0.23089468588014334,0.03688520355954499,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,82,-0.2855583651041875,0.009307913772108684,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,130,0.0441621069410742,0.6178457030834219,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,130,-0.24174716885181569,0.005589396354108389,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,130,-0.2608009807683626,0.002727287058279903,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,82,-5.619060849629265e-06,0.9999600247070523,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,82,0.035397823533728986,0.7522158275960122,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,82,0.16502921310465063,0.13843591645274683,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,130,0.029270945345787003,0.7409559736398755,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,130,-0.1930231199610919,0.027786926123027952,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.18799724289685332,0.03219888785592411,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,82,-0.09116390159795969,0.4153305377668854,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,82,0.11001815131976195,0.3251385289975473,sensitivity
