persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_R,C5SPGN,C5SER,152,10,0.23586712434153176,0.2738609690110387,0.8612659379439519,0.38909159122452863,0.25246227868552196,0.4568114289329901,0.22840571446649505,-0.018762048341613918,0.31504724891543856,0.00014717281379797683,-93.3816216899047,True,powell,sensitivity
neg_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,152,10,0.09329123363726569,0.1238234391929184,0.7534214381811575,0.45119670418019164,0.06700007643695842,0.662753122823966,0.331376561411983,-0.007851247079543508,0.352480483502133,0.0005014538723963387,19.005887634117585,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,PA_score,C5SER,94,10,0.35372979543109795,0.6707216650085803,0.5273868638589045,0.5979249638315107,-0.7968490039619135,0.35839318618429716,0.17919659309214858,-0.014400974326555037,0.538995628075173,0.3678287811281324,-97.79225026150465,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score,C5SER,94,10,-0.14199359945124093,0.20933713204536744,-0.678301064239612,0.4975808240429863,-0.0182309164047625,0.9490101374225391,0.4745050687112696,0.005795779840566098,0.4296125824684468,0.02924003692634754,0.8007868466046943,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,94,10,-2.1459897893173894,1.4969049647126873,-1.4336179249223655,0.151681325415498,-0.8757293619364122,0.6994465966677025,0.34972329833385124,0.08759496258991893,0.09434032791593493,0.038623526244929166,-166.23837462321552,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,152,10,-0.36066804683956954,0.5015443484482217,-0.7191149655169609,0.4720700871041674,-1.6605531879743511,0.004394332893511764,0.002197166446755882,0.009184667584089728,0.4904636397049015,0.011674028263657807,-146.4098140457707,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,152,10,-0.09726625943085795,0.34597876890332563,-0.2811336075308031,0.778607925125372,-0.28888341797367534,0.49408051830449984,0.24704025915224992,-0.0007538556306880837,0.9345682410065423,1.8071558628860367e-11,-93.1226560529908,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,152,10,-0.04922272291776163,0.15619979622398966,-0.31512667818834095,0.7526654734152061,-0.15611948789567454,0.4015216635382812,0.2007608317691406,-0.0004969511924629747,0.9045923667473051,3.6193367183087485e-12,19.530738085200085,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,C5SER,94,10,-0.16200995922326375,0.4055400364935893,-0.3994918988123748,0.6895307917871851,-0.4195263349839375,0.4118690765580224,0.2059345382790112,0.002756528071639949,0.858858629673096,0.37759660339969087,-100.11185097322712,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,C5SER,94,10,-0.011415015403108412,0.12612071854964624,-0.09050864548170964,0.927883024051535,0.07410531028616481,0.6816189706994356,0.3408094853497178,0.0014168599049051783,0.7692121861166092,0.028051527822026304,-0.3569673989240414,True,lbfgs,sensitivity
