persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,p_persistence_one_tailed,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_bilateral,NA_score,94,8,0.1109887674626291,0.21526129469051905,0.5156002040320232,0.6061336677833475,0.30306683389167377,0.027800728953659735,6.3399800954010175,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,1.243169443814278,1.7447069701700584,0.712537672554323,0.4761318917372924,0.2380659458686462,0.008798023973212622,-165.85067985324315,True,lbfgs,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGP,152,8,-1.4803748031832709,0.524454408111032,-2.8226949383746267,0.004762186103949645,0.0023810930519748224,0.010802505796285047,-142.7992487571442,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN,152,8,-0.2461509885751657,0.3775001097334026,-0.6520554093322039,0.5143654282480286,0.2571827141240143,1.7991457870270362e-11,-88.75356031379368,True,powell,sensitivity
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,8,-0.13471265519172632,0.16700737044403718,-0.8066270059432343,0.419881409867898,0.209940704933949,1.732600841997429e-08,25.37700160990363,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,94,8,-0.3025785594499312,0.3959940974478863,-0.7640986605608464,0.44480845045505224,0.22240422522752612,0.3791635112841236,-96.2045105317136,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,94,8,0.086126287640239,0.13359137237918053,0.6446994750213473,0.5191219565961718,0.2595609782980859,0.027212617920116224,5.928726274725989,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score_log,94,8,-0.4114158671571933,1.0737909035354323,-0.38314337158437073,0.7016134628912957,0.35080673144564783,2.0594743890618637e-10,-166.51941432726852,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGP,152,8,-0.11458738955598614,0.3916780369347311,-0.2925550547912925,0.7698622723558272,0.3849311361779136,0.038981972030145466,-146.97792234542993,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN,152,8,-0.34450561799388296,0.25290213994663036,-1.3622091852073042,0.17313187789164586,0.08656593894582293,1.739421733706206e-11,-88.41043707071623,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN_log,152,8,-0.19201918617384395,0.11416304544884875,-1.681973228892873,0.09257403125687398,0.04628701562843699,3.5274207537000847e-12,26.091323141635144,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,PA_score,94,8,0.9449986741859834,0.4778997758397298,1.9773992831980352,0.04799651494256644,0.02399825747128322,0.3167723400113871,-94.28635392940055,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score,94,8,-0.14043407046051484,0.1450992692691939,-0.9678482267197088,0.3331201742212134,0.1665600871106067,0.02595685238872212,6.2487311467529025,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score_log,94,8,-0.31107262345075964,1.1118050085607687,-0.27979062970173435,0.7796381411233394,0.3898190705616697,2.0197639726940594e-10,-166.51816204949586,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGP,152,8,0.09635346263884356,0.4099327273585233,0.23504701188342478,0.8141722449437064,0.4070861224718532,0.031156952726017626,-146.9207681978466,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN,152,8,-0.1500390169359471,0.2735994208148541,-0.5483893806832257,0.5834245665340339,0.2917122832670169,1.2696660601657046e-09,-89.1102355013324,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN_log,152,8,-0.09261799646826695,0.12378786795495901,-0.7481993025517378,0.4543399516392985,0.22716997581964926,1.3896484653336261e-05,25.041177488017013,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,PA_score,94,8,0.19456311115845384,0.5667042666015161,0.343323886240057,0.7313548130405811,0.36567740652029057,0.35814608332275183,-96.18929266946242,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score,94,8,-0.02819751916903496,0.1718131328219751,-0.16411736813071173,0.8696387494052965,0.43481937470264825,0.02741428785842476,5.982473330668029,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score_log,94,8,-0.7265849918744257,1.4413116667030488,-0.5041137240888809,0.6141814632890727,0.3070907316445364,1.9407876350421852e-10,-166.1800902100676,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGP,152,8,-0.1719255307099405,0.5410801194397572,-0.31774505204137765,0.7506783342077427,0.37533916710387133,0.039348490359543215,-146.64601857318092,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN,152,8,-0.5071811726979489,0.3493773136963098,-1.4516717394501677,0.14659290084197005,0.07329645042098502,1.928055178648676e-11,-87.96285546408131,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,152,8,-0.2871302857140134,0.15759839797577008,-1.8219111958115093,0.06846846126027997,0.034234230630139986,3.5470894233967637e-12,26.65424004662958,True,powell,sensitivity
neg_persist_concat_z_L,PA_score,95,8,-0.18456707259312558,0.18853222985058374,-0.9789682790014171,0.32759565318149964,0.16379782659074982,0.3415619876805433,-98.77838468808551,True,lbfgs,sensitivity
neg_persist_concat_z_L,NA_score,95,8,0.049089589882380325,0.059455983739320435,0.82564591139572,0.4090049831234577,0.20450249156172884,0.02818966495701117,5.781534450071575,True,lbfgs,sensitivity
neg_persist_concat_z_L,NA_score_log,95,8,0.18567921431902606,0.5183155290905475,0.3582358696541942,0.7201668059797285,0.36008340298986424,2.0592250432680673e-10,-170.22655123000922,True,powell,sensitivity
