fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,93,-0.7450782908630624,0.5207863755406364,-1.4306793070183241,0.1574636990904558,0.40951900658569196,0.1377102953314867,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,148,0.11439133360871684,0.15859236378515623,0.721291560819926,0.47238023020467323,0.35023237428044696,0.06357018646299706,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,148,-0.24972193586691988,0.11558781476687809,-2.160452088921039,0.03307920144186161,0.234720755167366,-0.10290244108232538,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,148,-0.11386234112802243,0.05086254781529527,-2.2386283428330738,0.027352716246272977,0.28127081210203175,-0.03581559432354253,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,93,-0.17511005308326766,0.2566241536809865,-0.6823599827666639,0.497512682039022,0.3311099062913174,0.023208117123828642,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,93,0.02550440415319153,0.0805689658729065,0.3165536987706091,0.7526288068468727,0.5276843285802673,0.31026917824419986,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,93,0.6145552095520375,0.5539639455305244,1.1093776309999481,0.2714841364485786,0.4020162719848126,0.12675392099369465,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,148,0.09078204028333797,0.19832354167338176,0.4577471717041366,0.6481076992497223,0.34825700400620396,0.06072332930305868,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,148,-0.31896302172188895,0.14417277297429354,-2.212366559522033,0.029171373237886763,0.23634598282182728,-0.10056020122736653,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.13688086694627608,0.06362222415497489,-2.151463089577839,0.03380014940382789,0.2786914771162564,-0.039532871214806864,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,93,-0.5113437581120936,0.24669116488391132,-2.072809370180417,0.04228667045378079,0.3691871514970553,0.078812983138557,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,93,0.07703995114917746,0.07922477403907553,0.9724224787460994,0.3345593163114233,0.5339286248592077,0.3193878331277319,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,93,0.5772978345447998,0.5488909974915751,1.0517531480440443,0.29693035536645496,0.4008546160212171,0.12505753450717416,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,148,0.015196188482855921,0.19219265408483058,0.07906747817816481,0.9371338633418805,0.3469581930011737,0.058851513442867986,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,148,-0.02789681804884836,0.1428597955236213,-0.19527410036251755,0.8455668289233702,0.20000040177674738,-0.15294059743939337,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.01853990501394342,0.06294940513109663,-0.29452073415678426,0.7689585869833897,0.24659896449491014,-0.0857838452867472,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,93,-0.05192582681811064,0.26020308416382526,-0.19955884452706127,0.8424683326408486,0.3265920056736523,0.016610547967873313,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,93,-0.06379545606989954,0.08108544467471941,-0.7867682828381838,0.4343672179886222,0.5315359523083701,0.3158937716249215,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,93,0.3978245181492014,0.5630172036583913,0.7065938936931313,0.4824241155160144,0.3951281383899683,0.1166950592361442,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,148,-0.10019654406718459,0.19526654295544785,-0.5131270444524924,0.6089720485045054,0.34859967038355943,0.061217172023365074,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.2094504486693266,0.1438675204446873,-1.455856388029249,0.14850342929399052,0.21599267562899194,-0.12989290865233505,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.09566930880676522,0.06335976136780427,-1.5099379596997466,0.13415091700231901,0.2624441703668149,-0.06294810741253154,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,93,0.36710885113218983,0.2609607366846202,1.4067589469440116,0.1644129262684656,0.34668830881309,0.04595753033022665,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,93,-0.05623882433759834,0.08266434234655545,-0.6803274875378206,0.49878975435749917,0.5303832337062322,0.31421043652338676,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,93,0.026886496717767994,0.5755325628898513,0.046715856671542814,0.9628874656097921,0.39035564812941626,0.10972570837946505,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,148,0.08533011586430173,0.21220176419066533,0.4021178437877255,0.6884386974635059,0.3479518476928286,0.060283545204370625,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,148,-0.33093496929828925,0.15444476355223355,-2.142739978272985,0.03451276788007403,0.23417353879559255,-0.1036910764416461,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.13399936559008185,0.06830894239485119,-1.9616665240623328,0.052526853305699374,0.27337163680754795,-0.04719969989500439,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,93,-0.09710681858863171,0.2273656973381608,-0.42709529065065965,0.6707660668811265,0.328111716502712,0.01882980822618263,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,93,0.06875073164713216,0.07075200701653384,0.9717142247437023,0.33490886726640934,0.533918588714486,0.3193731771703606,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,93,0.17581947089762714,0.4939723689060184,0.355929768474718,0.7230822864212048,0.3915580387332658,0.1114815803723882,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,148,0.15253289116984353,0.17534745332880236,0.8698894011527036,0.38640335755287214,0.3517275077378551,0.065724937622203,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.08096119416017816,0.130595711961453,-0.619937614675089,0.5366813564590918,0.20270542917942236,-0.14904217559436184,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.030056476358089362,0.057590586190013254,-0.521899121827335,0.602872080692733,0.24796647476586298,-0.08381302166096227,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,93,-0.09223939140218917,0.2287508604983255,-0.40323079529077616,0.6881437026750443,0.3279009323093178,0.01852199638821017,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,93,-0.0511442595592004,0.0714131400595733,-0.7161743555392681,0.4765300773406609,0.5307533807979898,0.31475096878436615,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,93,0.165754121469727,0.49696460820069477,0.3335330499084327,0.7398395242354414,0.39140916857231345,0.1112641826770292,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,148,-0.09299873732440078,0.18208980100921734,-0.510730072793551,0.6106437020307928,0.34858403743680333,0.06119464218833426,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,148,-0.2855982802034398,0.13256165358092914,-2.1544562283924855,0.03355858985025611,0.23453509615132329,-0.10317000848779889,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,148,-0.12849534765390255,0.05836962481253328,-2.201407805285596,0.029960971061475723,0.2801591434403623,-0.03741770504183073,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,93,-0.0776212215872999,0.2717702268624599,-0.2856134113122818,0.7761112034179262,0.3270377087383002,0.01726141593529551,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,93,-0.07577797547305525,0.08459624367949187,-0.8957605228921721,0.37379060558799015,0.5328824246191006,0.3178600486501152,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,93,-0.1144749907523177,0.5903905986066549,-0.1938970420980334,0.8468803387532017,0.3906981383012149,0.11022585275732977,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,148,-0.10917488340728454,0.20498753978058643,-0.5325927786837318,0.5954738630822842,0.34872930705316174,0.06140400134132129,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,148,-0.07779712618564441,0.15241145690732602,-0.5104414573830172,0.6108451223424981,0.20174041506157758,-0.15043293123478518,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.051248539795772347,0.06706827431616749,-0.7641249207364557,0.4465568535446025,0.25025011421182486,-0.0805218942241348,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,93,-0.18725328425650742,0.22956104666227586,-0.8157014745275556,0.41774425978683194,0.33320858735633374,0.02627285772670962,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,93,-0.061690343565668326,0.07182372504483658,-0.8589131728709085,0.3936447537995236,0.5324085840635662,0.3171680910134618,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,93,0.6584678839323326,0.4942334541862756,1.3323013210760057,0.1875605387681503,0.4070411618548553,0.13409185540709034,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,148,-0.23357777979791905,0.1739875327560981,-1.3424972243577744,0.18241507265820361,0.3582574982927669,0.07513580636310524,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,148,-0.12313212621391845,0.12991478898852493,-0.9477914498617583,0.34547572756653133,0.20668798479024542,-0.1433026101552346,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.04862735972257251,0.0573086628471011,-0.8485167391238876,0.3981371659965408,0.25124345827133476,-0.07909031013837042,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,93,-0.05295678721080721,0.273287695792173,-0.19377669769325892,0.8469741720113438,0.3265677098708578,0.016575068382840064,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,93,0.003719507415207976,0.08557745277744531,0.04346363784490072,0.9654694156189164,0.5269472596700319,0.3091928236451259,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,93,0.3517883196527978,0.5920002066966781,0.5942368189628738,0.5544817375652398,0.3937326809434325,0.114657248361838,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,148,-0.008360638829762568,0.20111339656257,-0.04157176484840194,0.9669213489929169,0.34692923265967157,0.05880977648011487,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,148,-0.27282988380992923,0.14705466006444642,-1.8552957362273461,0.06644175769212508,0.22582680596353877,-0.11572019140548817,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.10715569217556165,0.06503803373678346,-1.647585051682732,0.10251516457391421,0.26550543934275916,-0.05853627859425892,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,93,0.10065192833883568,0.23894378405278083,0.4212368559317804,0.6750158406130784,0.32805886193077993,0.018752623771932653,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,93,0.010507246865374006,0.07489538352573644,0.14029231670552006,0.8888766171172939,0.527080820399756,0.30938786471075486,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score_log,93,-0.5270295207537719,0.5153682405966445,-1.0226270833911437,0.31039505143022766,0.4002894032496267,0.12423214442802633,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGP,148,0.13476493019120395,0.16730048350086585,0.8055262445819918,0.42238994369105487,0.35104648233441627,0.06474345983489405,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN,148,-0.12942054377465262,0.12411167382435362,-1.0427749444247465,0.29951775391940677,0.2081429859628654,-0.14120569670057637,sensitivity
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.06442011980089342,0.054620926083594326,-1.1794036538725463,0.2409810967279265,0.25610292282766156,-0.07208696416013471,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,PA_score,93,0.1822612376101343,0.348622032858475,0.5228047008839635,0.6029440121329327,0.3290771201523094,0.020239604031943914,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score,93,-0.07385310910219606,0.10897679199717092,-0.677695752909604,0.50044599241026,0.5303567854034235,0.31417181360499935,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,NA_score_log,93,-0.21412645100991368,0.7582393032373534,-0.28239956712305264,0.7785628604932155,0.3911053082302244,0.11082045011397856,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGP,148,0.010393356064363424,0.239227280626105,0.04344553028050129,0.9654313205293048,0.3469302525994785,0.0588112463933661,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN,148,0.01077911757634109,0.17784759499135394,0.060608733994210705,0.9517894134447102,0.19973014846389825,-0.15333008015497018,sensitivity
l_amyg_safety_vs_threat_neg,neg,l_amyg_safety_vs_threat,C5SPGN_log,148,0.0015585354137996332,0.07838627102113839,0.01988275999733861,0.9841757400992074,0.2459611824205845,-0.08670300180562829,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,PA_score,93,-0.08326508202584149,0.3072027784799386,-0.2710427374317481,0.7872442658913426,0.3269511699731258,0.017135041865517064,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score,93,0.12843308651512858,0.09485625717234956,1.3539759035797863,0.18058127689362408,0.5403097031947565,0.32870623323678727,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,NA_score_log,93,0.5767125992783202,0.6635538441621287,0.8691270563077467,0.38807680731938254,0.3975579232738512,0.1202433165268939,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGP,148,0.2790533708457519,0.23225405402502905,1.201500537922492,0.23233944810071303,0.35603222788193356,0.07192879900631599,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN,148,0.027286430733518885,0.17386161207190834,0.15694338967841473,0.8755997006207208,0.19989453918442346,-0.15309316411656626,sensitivity
r_amyg_safety_vs_threat_neg,neg,r_amyg_safety_vs_threat,C5SPGN_log,148,0.02147327510858929,0.07660797151219623,0.2803007922637748,0.7798144439324615,0.24653863600050985,-0.08587078929338277,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,PA_score,93,-0.32356471438460743,0.3192505712982468,-1.0135133449215674,0.3146917548505928,0.3369768614588047,0.03177573419381008,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score,93,-0.05382895634554155,0.10052498541264822,-0.5354783800721518,0.5942044449478551,0.5290764282258593,0.31230208566315965,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,NA_score_log,93,-0.025967948183580503,0.6989161089101971,-0.03715459960433835,0.9704792197932921,0.3903478883301026,0.10971437660903871,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGP,148,-0.003427085989392342,0.2184367934650057,-0.01568914254338463,0.9875130363108073,0.34691974354870625,0.05879610099666488,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN,148,-0.23076008909134466,0.16077760557886456,-1.4352750699359826,0.15426810821557907,0.2155443668309749,-0.13053900074359492,sensitivity
l_amyg_safety_vs_threat_neu,neu,l_amyg_safety_vs_threat,C5SPGN_log,148,-0.09194012068841914,0.07099223820249172,-1.2950728560800917,0.19821877995118006,0.2581565925999071,-0.06912726360601629,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,PA_score,93,-0.5414304637893164,0.2734542954817013,-1.9799669368351436,0.052079263698107316,0.36564030821025084,0.07363346595782672,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score,93,0.17552195360625747,0.08541242555663299,2.05499319873403,0.04403165197921054,0.5566514795794135,0.3525704146239055,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,NA_score_log,93,0.828337414958898,0.6030764062694492,1.3735198498029189,0.1744590202093157,0.4080603664995006,0.1355802177453025,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGP,148,0.12892832484980388,0.2068324844525758,0.6233465946659148,0.5344481789817972,0.34939659003390733,0.06236567387239589,sensitivity
r_amyg_safety_vs_threat_neu,neu,r_amyg_safety_vs_threat,C5SPGN,148,0.04685533018787047,0.15398856183825388,0.30427799070612954,0.7615360135737743,0.200427097556522,-0.15232565352148297,sensitivity
