fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,C5SER,93,10,-0.07422027620802008,0.07966517310389096,-0.9316527325087185,0.3515160215908286,-0.09042978262342133,0.6533969337345745,0.04849677375231281,0.37969023495596355,0.3827106993471539,-101.78953136762206,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,C5SER,93,10,-0.04753411216336411,0.02532732666639129,-1.8767915299343714,0.0605466718076455,-0.08867632782126134,0.13063998089459702,0.03424358691825957,0.05148649697551718,0.031890067977044405,-1.441754893229728,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,C5SER,93,10,-0.28893713873617827,0.18932736368169042,-1.526124555465518,0.1269788477649776,-1.0142744606566736,0.0625650651447849,0.2212904891286949,0.09373120102988894,2.0052513503821507e-10,-167.13643556163444,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,C5SER,148,10,-0.23915241224563089,0.06047670719132173,-3.954454919132051,7.670933314973816e-05,0.13041277161541745,0.40959201954913327,0.17295744104532568,0.00010501919892001603,0.16697072697834342,-140.04234830722453,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,C5SER,148,10,0.003153353923438009,0.040365676465046504,0.07811968483096189,0.9377328488131953,-0.24037508310789277,0.037826792134225545,-0.003780580275370289,0.8986115918592874,0.0019104335574588885,-91.99364744682885,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,C5SER,148,10,0.004453007052898235,0.0182543836063821,0.24394179222471113,0.8072759011804991,-0.09491350545172336,0.06990737593054297,-0.004269503910218174,0.7503488500682975,0.0010266569790222063,17.366007528449245,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,C5SER,93,10,-0.35817899088890026,0.13754443218109144,-2.6040966196095865,0.009211678420077751,-0.24031945889005452,0.23241486938286626,0.11511066372576338,0.012010721408920318,0.3612195816008224,-98.31947601477643,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,C5SER,93,10,-0.06676692783696216,0.04584570891488436,-1.456339740779654,0.1452987246959887,-0.0965361893144226,0.12850029352005962,0.02324390437998908,0.12864144020203588,0.03173945346817935,-1.5962387175914898,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,C5SER,93,10,-0.04520682944804286,0.34344265053780276,-0.1316284665787802,0.895278168353902,-0.9197919675459931,0.10902721232830949,0.033105092767654574,0.7732358064299003,5.078481989413687e-09,-167.2677099970148,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,C5SER,148,10,-0.32472032184428473,0.09507303456811463,-3.4154828792347045,0.0006366903180818895,-0.10017935506843349,0.5211453544420864,0.11599040183987915,0.000783388925332485,0.13626991845227837,-142.6332779516532,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,C5SER,148,10,-0.016340457594321386,0.06450718956785295,-0.2533121920795109,0.8000269753711551,-0.2496709579861458,0.024724983065529525,0.003291817106592478,0.8878165648119763,0.015065992117575347,-91.18394046557142,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,C5SER,148,10,-0.006632758896592748,0.029071294268818954,-0.22815492269660856,0.8195258037087849,-0.11570173504035887,0.020363470631363133,0.000955453490268473,0.9276257102346197,0.002342676851452851,18.810239492716903,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.03613560969111456,0.07232216062236409,-0.4996478172133092,0.6173230819776918,-0.05277206313109466,0.8190606113540241,0.027404957216711,0.6497054190996064,0.3817801597520867,-102.02288300441725,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.04284886245773636,0.02262949032130922,-1.8934965767827046,0.058291863030718316,-0.0174895707828556,0.8080924086807867,0.03657430389283887,0.053568639229988155,0.03092174848408935,-1.8103970031011443,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.3211946391793932,0.16670045292851476,-1.9267772434735337,0.05400739665420695,0.44994339987066684,0.40875609137223834,0.2770419038351861,0.047950586143001774,1.8589295999700495e-10,-166.80724274794696,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.21303074649673157,0.05882773707127134,-3.621263660688482,0.00029316754897035224,0.06386351276854559,0.714688234711678,0.17848288651698413,0.00035577199912243947,0.10333825233812842,-141.81251334763442,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,0.008300347243589969,0.03967957855302296,0.20918435997243254,0.834304321278488,-0.22977726802747472,0.0686504042915962,-0.008019840384225617,0.8116099675049748,0.023123501928570205,-92.47856113836701,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,0.005827630252321803,0.017916767369102356,0.3252612556867602,0.744983351423675,-0.09642426072526486,0.0868946359452408,-0.00570486325974753,0.7074107063887127,0.0032233918360447845,17.1840918925281,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.10449253465236714,0.1864494384620913,-0.5604336248704361,0.5751837017437307,-0.27273535106362223,0.400412127395518,0.024558485548745616,0.6117903935800846,0.3649510071774492,-101.05320776776895,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.00916160877347267,0.052745989672722426,-0.17369299221264953,0.8621067452151987,0.05376733322896397,0.5642770639616619,0.0031295248142698077,0.8194837230237223,0.028951649567898457,-2.2775519154542394,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.21966978675146256,0.3778619913872705,-0.5813492538505233,0.5610050913273263,0.23678599279535634,0.7241391547471661,0.0705208343648991,0.4724759006540806,1.9546531190640532e-10,-168.12309449232308,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.47774236937168185,0.13289062706259633,-3.5950042522310306,0.0003243862785584639,-0.2166971556250742,0.28007722184799433,0.12467659888187217,0.0004195974687288434,0.08806060243116703,-140.99542650221588,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,0.0156876216901377,0.09672098637406966,0.16219459993372712,0.8711526121247044,-0.03403533909415403,0.8087339544500515,-0.007086834536039064,0.7823471986301584,5.286473759055688e-11,-93.31735597807074,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,0.009568235437526286,0.04326452886920693,0.22115658456496853,0.8249705127387688,-0.018222705944406958,0.7729606521532756,-0.00411221219694803,0.7200871544946827,0.0008842422271425591,16.53252911923545,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.03414121431702288,0.1250167719160538,-0.2730930721835308,0.7847816719920546,-0.06511797239065575,0.8107491443573221,0.010338167264732145,0.8309102113750999,0.38498440300370934,-101.67322106019091,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.06587735015131123,0.03925896567007442,-1.6780205241506647,0.09334309237948446,-0.07703351179577103,0.34937485078355024,0.026263387965070897,0.08373830714760927,0.028779569293047685,-1.6959451786116517,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.328744058417052,0.30370432600649083,-1.0824477304614555,0.2790536292155352,-0.06523163987350745,0.9138794904059926,0.14075021099384877,0.23084545166478243,0.05421552677670594,-168.2651009691958,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.41908342428199863,0.10223825253731561,-4.099086338834271,4.1478429509300696e-05,-0.31840834034427173,0.07260412396571694,0.17160326789379954,4.8381541912448614e-05,0.12588361965570327,-139.81943606672212,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,0.04992476271230403,0.0688790529020022,0.724817787249987,0.4685638221071582,-0.18169138573363622,0.14719787601234452,-0.022546444790379087,0.4267714836305937,8.915207436144932e-11,-91.85471911647443,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,0.028844224144440257,0.031021427052909712,0.9298161588518784,0.35246627842138367,-0.07963865640953043,0.15863783898433925,-0.013017186344293004,0.3083132934947457,0.0006044780869019484,18.156123728946056,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.06307967568564027,0.09764162655610849,-0.646032618571674,0.5182582311557482,0.0518757897839618,0.7769787247965853,0.03298457128789639,0.5599224780742658,0.37704889722954715,-101.8236159957772,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.06304199478938022,0.03000651566296184,-2.100943524982319,0.035645924067861046,-0.07825246743832351,0.1680628813863373,0.03762575263926171,0.030563497825099633,0.030689796505143266,-1.0284536509697944,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.4823920901224332,0.23207595964676106,-2.0785956927924554,0.03765452720928786,-0.26292615427168253,0.6196963984576213,0.2945392019971422,0.029255489111192284,0.026541469027615568,-167.13954183495358,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.2012010523689461,0.08020905271772744,-2.5084581546800586,0.012125932950606932,-0.17699015832358148,0.3547852708370145,0.11804434250082661,0.012231763388345999,0.05000806877938003,-144.85567269972546,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,0.002346463745480128,0.05449368535771536,0.04305936972471453,0.9656542075022327,-0.1829959748320444,0.15931645149005946,-0.003473410467292462,0.9135833782765435,0.012159877152517989,-92.84019396670396,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,0.004165371507143915,0.024646266651620032,0.16900618523780028,0.865791776270862,-0.06967553474350523,0.23515335917267222,-0.0037193987103611346,0.7972326498228863,0.0020342339748428396,16.710084173572284,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,C5SER,93,10,-0.08545620386388937,0.1295254873683596,-0.6597636156416005,0.5094055355438492,-0.056423760906823016,0.7677850693260718,0.035588482313003864,0.5439852929178586,0.3765762888702801,-101.64936496400125,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,C5SER,93,10,-0.06365881404803249,0.04079909200990484,-1.5602997741365903,0.11868905675016261,-0.03748757480871745,0.5680555660085462,0.02972350606055268,0.10873148453335946,0.03062064502808822,-2.0220049809774707,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,C5SER,93,10,-0.6648147697640806,0.29422423675225917,-2.25955134458846,0.023849110246590977,-0.18617717196759043,0.7077340827241297,0.31458098776943444,0.018564170456814768,1.860407731059357e-10,-166.50850117021426,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,C5SER,148,10,-0.23813281530597585,0.10533518990458823,-2.2607147290632374,0.023776927800049474,0.0698649863921954,0.6780707342906469,0.10327238562867659,0.025905703735163304,0.04642923339976748,-144.8945049738993,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,C5SER,148,10,-0.04538446857824208,0.07235227817281506,-0.627270760843774,0.5304817662925143,-0.01951633251060743,0.8684276323658835,0.016592003488889846,0.6020472598917372,0.0010805203545395975,-93.51905586971174,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,148,10,-0.019945974287019115,0.032633711066787405,-0.611207663333114,0.5410621107054829,-0.00401536094725507,0.9393457949329771,0.006951531292066556,0.6281039414004725,0.0008292758483622367,16.27145477442832,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,C5SER,93,10,-0.04823816771222638,0.07942012504285821,-0.6073796495056534,0.5435989906796359,-0.15279945382925667,0.48004682597283155,0.033552416900673024,0.5695218474677519,0.3929886671684798,-101.8937502520964,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,C5SER,93,10,-0.04849621470007367,0.02494402982567051,-1.9442012793844974,0.051871183577377966,-0.08475512711217245,0.1852055194723392,0.03717247135190793,0.04490639210681608,0.030538481132253027,-1.5245322476517345,True,False,lbfgs,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,C5SER,93,10,-0.23494153368316928,0.18639549003199168,-1.2604464498730386,0.2075083541720315,-0.13874699675986144,0.7802822240817205,0.1892145016104836,0.17251842881583912,0.05611201261469239,-168.78249668926256,True,False,powell,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,C5SER,148,10,-0.21239088980347806,0.06383598396033181,-3.3271342685883787,0.0008774408422584923,-0.20727694053144916,0.21397591261408277,0.16159893365972117,0.0009047788105141836,0.09573628148878661,-142.79282731180683,True,False,powell,sensitivity
