fc_var,condition,seed_target,affect_var,n,r,p
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,82,-5.619060849615387e-06,0.9999600247070527
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,82,0.035397823533728986,0.7522158275960122
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,82,0.16502921310465063,0.13843591645274683
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,130,0.029270945345787003,0.7409559736398755
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,130,-0.1930231199610919,0.027786926123027952
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.18799724289685332,0.03219888785592411
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,82,-0.09116390159795967,0.4153305377668854
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,82,0.11001815131976196,0.3251385289975473
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,82,0.12252825170421772,0.2727965218960465
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,130,0.10026591661438897,0.25636320315568867
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.05952623352172843,0.5011093118620782
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.06558150075995567,0.45849891173248103
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,82,0.0018205763005536835,0.9870485589764578
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,82,-0.0005222556120646205,0.996284566473355
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,82,0.0736139964739618,0.5110124226090239
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,130,-0.06366583044368146,0.47175790846371923
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.16702208191341722,0.05752291021599212
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.17490574674992104,0.04655329625834441
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,82,0.09590483801165571,0.39138917269101586
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,82,-0.08031771993295952,0.4731875534575539
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,82,0.03626514775936138,0.7463470384303109
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,130,-0.0799936009607259,0.36561938010954864
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,130,-0.13516307072236458,0.12521257261294483
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.12326740494541544,0.16234586747932106
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,82,-0.001697748172600294,0.987922281066149
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,82,0.03211227266837405,0.7745727775940001
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,82,0.07900320167221456,0.48048328924362627
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,130,0.08670809830109508,0.32662971375177885
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,130,-0.019814400516474588,0.8229448948996595
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,130,-0.007793144074833218,0.9298777400767789
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,82,0.012050465849028552,0.9144317819821653
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,82,-0.11177373642197509,0.3174301599112299
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,82,-0.013929917015030928,0.9011487968955457
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,130,-0.03733021583043988,0.6732687057526081
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,130,-0.2187327366476004,0.012412219445815525
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,130,-0.22909522291288753,0.008746023996710072
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,82,0.0733271608180182,0.5126647117524714
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,82,-0.17911792712339805,0.10736902773788845
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,82,-0.04920776473186628,0.660646581054284
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,130,-0.03088214075095806,0.7272446852714697
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,130,-0.07088518788457335,0.422889464830843
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.09293917557102649,0.2929310565821976
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,82,-0.08183288801051672,0.46485292908893644
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,82,0.020053329099843475,0.8580784057847208
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,82,0.16772010267761134,0.13202992446922351
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,130,-0.10849673808013811,0.21917070478999315
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,130,-0.10436588144772187,0.2373281482974893
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,130,-0.09203722953939539,0.2976606818435863
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,82,-0.06344954880117529,0.5711826553043969
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score,82,0.05772889376664098,0.6064398273368652
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,NA_score_log,82,0.035676962177684846,0.7503254706807776
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGP,130,-0.007539630101270425,0.9321533114308677
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN,130,-0.15805548876836056,0.07249267132961723
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,C5SPGN_log,130,-0.14620006829780124,0.09696103875635215
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,PA_score,82,0.09649181843605606,0.3884832761441639
r_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-post_vmPFC,NA_score,82,-0.1323764217067319,0.23580300879389438
