persistence_var,affect_var,n,n_groups,beta_persistence,se_persistence,z_persistence,p_persistence,group_var,log_likelihood,converged,optimizer
neg_persist_crossrun_mean_z_bilateral,PA_score,83,7,-1.4415016989242444,0.6667390380101643,-2.1620178461820756,0.030616800637786934,0.35437098635646447,-83.27419854126887,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,NA_score,83,7,0.32739557858443274,0.20123657706237716,1.6269188403207144,0.10375433600568076,0.01155383764814773,19.56069943805298,True,powell
neg_persist_crossrun_mean_z_bilateral,NA_score_log,83,7,2.559965801532331,1.9064538111079214,1.3427893120812753,0.17934020515921822,0.02102734125600892,-149.0014295547285,True,powell
neg_persist_crossrun_mean_z_bilateral,C5SPGP,83,7,-2.055438467210963,0.7230718816510523,-2.842647486882775,0.004474052517648363,0.2656052785858432,-80.74698434034113,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGN,83,7,-0.32713739615282184,0.36708904258926134,-0.8911663335014287,0.3728399427724144,0.08460831669758988,-34.24512669314811,True,lbfgs
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,83,7,-0.19750535756814747,0.18417871804090247,-1.072357108731126,0.28355966504545216,0.018277083131138627,20.762393926725935,True,lbfgs
pos_persist_crossrun_mean_z_L,PA_score,83,7,-0.44586727169721235,0.3873399558618679,-1.1511006415672136,0.24969083410431836,0.40228051422692324,-85.70728955568947,True,lbfgs
pos_persist_crossrun_mean_z_L,NA_score,83,7,0.05512344785234991,0.12021225201413013,0.45855099566615326,0.646556634011973,0.012192490495508369,17.828386221669675,True,powell
pos_persist_crossrun_mean_z_L,NA_score_log,83,7,-0.6008642258141329,1.1496626591102141,-0.5226439434670115,0.6012220544333202,2.022593791752054e-10,-150.28350699246877,True,powell
pos_persist_crossrun_mean_z_L,C5SPGP,83,7,-0.572339277098877,0.44646248462046834,-1.2819425972272112,0.1998627835717537,0.33639212646032485,-84.6400667156336,True,lbfgs
pos_persist_crossrun_mean_z_L,C5SPGN,83,7,-0.04104336131945819,0.23754716666266207,-0.17277983945707667,0.8628244844813688,0.08243635316569169,-35.145670351027235,True,lbfgs
pos_persist_crossrun_mean_z_L,C5SPGN_log,83,7,-0.06885289194561829,0.12024440093123324,-0.5726078837133937,0.5669102205479967,0.016661614643985814,19.843218302265,True,lbfgs
pos_persist_crossrun_mean_z_R,PA_score,83,7,0.7490731335219262,0.5090254442939439,1.4715828882796738,0.14113354921367327,0.33144186757620697,-84.9973865097987,True,lbfgs
