fc_var,condition,seed_target,affect_var,n,r,p,tier
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,93,-0.008613410781530998,0.9346921954606576,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,93,0.062396130199320325,0.5523999498935102,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,93,0.17449730684015646,0.0943483788772338,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,148,0.05869259832688879,0.4785831314436856,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,148,-0.15733612121872304,0.05616421929527593,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.15195033447275763,0.0652411498635803,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,93,-0.09843130045588894,0.34789456979810457,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,93,0.11088189994509,0.2900047849970841,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,93,0.1373558161368178,0.18920684846027536,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,148,0.11959634598400164,0.1476680424177851,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,148,-0.046597911082352776,0.5738523251795371,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.05371074276755276,0.5167603425557662,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,93,0.0554750567825089,0.5973927436612211,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,93,-0.02733948557307718,0.7947594530674671,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,93,0.052063437501352824,0.6201572860433529,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,148,-0.044961873865427486,0.5873904463033103,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.14913986234844678,0.0704335299964694,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.15382229851884321,0.06195927630747679,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,93,0.09559494278581863,0.36202894256512064,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score,93,-0.05516378350007802,0.5994542099235834,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,NA_score_log,93,0.028555043333492833,0.7858481646126371,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGP,148,-0.07096555068754962,0.39139276832828374,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN,148,-0.11322686091706177,0.17062592851676428,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,C5SPGN_log,148,-0.09970676185832615,0.22793037186369478,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,PA_score,93,-0.05807586803651429,0.580293723163059,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score,93,0.0798142572647464,0.44695263907063354,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,NA_score_log,93,0.10622961281738842,0.310841887065931,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGP,148,0.09575526868042988,0.2469872009516911,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN,148,-0.006022007435562462,0.9420923065028517,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,C5SPGN_log,148,0.003282144299261814,0.9684195553768771,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,PA_score,93,0.07897519185771598,0.4517594259073745,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score,93,-0.23505743124839018,0.023327297881877027,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,NA_score_log,93,-0.06900661433828001,0.5110140967821778,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGP,148,-0.02362956681452024,0.7755916726482006,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN,148,-0.1884918679431412,0.02177529581312608,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,C5SPGN_log,148,-0.1910298320895829,0.02003275915920178,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,PA_score,93,0.13498482389815344,0.19703191852957186,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score,93,-0.22593729298205226,0.029433320853368108,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,NA_score_log,93,-0.09542867808671605,0.36286831773827005,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGP,148,0.0388100212648155,0.6395575519817378,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN,148,-0.08741356848192224,0.29076774158126156,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,C5SPGN_log,148,-0.10736229864859623,0.19401199455469975,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,PA_score,93,-0.019897621685107503,0.8498504560261909,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score,93,-0.0820116873219437,0.4345006955445315,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,NA_score_log,93,0.10430393387805843,0.3197441752847335,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGP,148,-0.10360328905380459,0.2101778216352118,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN,148,-0.08623967350949474,0.29731975962402324,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,C5SPGN_log,148,-0.07188607158946442,0.3852625892021224,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,PA_score,93,-0.05092822473185334,0.6278137086737104,sensitivity
