fc_var,condition,seed_target,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,C5SER,82,9,0.04897397043412759,0.031006579780897027,1.5794702537395036,0.11422823423459216,0.14003983915336785,0.045121295058061665,0.025004890352078295,0.09837670871097448,0.015540071377024362,10.927552352474308,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,C5SER,82,9,0.5378756383293467,0.28090322723193833,1.9148076141013126,0.05551704309923089,1.6926949448847928,0.00948033511080773,0.2832828849179124,0.03954066479515723,1.5088683999178118e-07,-148.9449510836169,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,C5SER,130,10,0.20297407441955848,0.09411168606644829,2.1567361387643937,0.03102622947402378,-0.03453333787171565,0.8706121506987169,0.10135764174191339,0.0345965471059443,0.09044475998952943,-126.80996275404055,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,C5SER,130,10,0.0016453135087899245,0.06252244302463507,0.02631556652611349,0.9790056389188075,0.13628788826206145,0.36822856769492085,-0.0016572560190920287,0.9584929033267289,6.071394528922136e-10,-82.32051290716686,True,False,powell,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,-0.0033966088552511197,0.027664002928245404,-0.12278081606849188,0.9022806658652378,0.03305678985066242,0.6140418469779747,-0.0032584448909666734,0.8169483559350542,4.2177671580859915e-10,15.038502710197179,True,False,powell,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,C5SER,82,9,0.48661320892640375,0.1901108259027801,2.5596291353510328,0.010478391789729313,0.24799793886741892,0.3000256571085341,0.06616167804510063,0.018284268404466692,0.37582861780678384,-87.61478014593183,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,C5SER,82,9,0.05352047468446787,0.07112917953323893,0.7524404897635232,0.4517862049279904,0.1865140715775443,0.027333937897309597,0.008521239536068861,0.41127697002126684,0.012240909146236986,11.8306010204208,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,C5SER,82,9,0.3026889896952957,0.6541097843810939,0.46274952144569154,0.643543917410383,1.6359078141823444,0.04525164571841009,0.060256705287157576,0.5278120013489989,2.01599348054127e-10,-149.27294223712823,True,False,powell,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,C5SER,130,10,0.07439203075476272,0.16152309644232882,0.46056590291608296,0.6451100792625657,0.08559422462229653,0.6948339387185622,0.011018632560239272,0.6639175901870055,0.04810932775642678,-128.7581114434559,True,False,powell,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,C5SER,130,10,0.0074270178196774944,0.1065282788697288,0.06971874415393342,0.9444175224061078,0.11338067220808094,0.43692222272104575,-0.0019102835888213372,0.909036252643741,4.475414415778022e-10,-81.97502027005419,True,False,powell,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,0.00939351836246645,0.0471341488612027,0.19929326378901666,0.8420333482046569,0.051514279078218345,0.42511703619169605,-0.00024325387285002546,0.9737512137461879,3.438161445326596e-12,15.662147041090464,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,C5SER,82,9,-0.07067220297716144,0.08074905747921128,-0.8752077755874227,0.3814608632077159,-0.13708075646906775,0.49960671323314576,0.045780703242337746,0.4109042337190867,0.3984068736671476,-91.47912188335846,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,C5SER,82,9,-0.03534214191989381,0.023102759839904324,-1.5297800853579826,0.12607117258542222,-0.0890528080428241,0.1262782257915916,0.0254361100143676,0.11229826691784431,0.016403393708596496,9.580086491417845,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,C5SER,82,9,-0.24783897090255377,0.20530462995601445,-1.2071767254136065,0.22736409179781392,-1.1811566682542038,0.06529496720492078,0.19196334004591517,0.17835199871734497,3.775219015491464e-09,-151.05857294831685,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,C5SER,130,10,-0.1988657761052299,0.06707804303959487,-2.964692574406848,0.0030298554269183597,0.08406677124240089,0.6332616036770322,0.1432219537417569,0.0036415243061082474,0.13079902990086492,-125.095614144433,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,C5SER,130,10,-0.012981021379811658,0.043790428101143516,-0.296435133034762,0.7668977980596898,-0.35620990453365264,0.0038892385204528134,0.008497394757427527,0.7912238865153349,1.643772885911637e-11,-79.16041024027868,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,-0.002728002387382485,0.019478572717529966,-0.1400514517640909,0.8886193383166725,-0.1462522060848104,0.007784539133985125,0.0011906892242829357,0.933534930721973,3.26149374159743e-12,17.933252716937403,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,C5SER,82,9,-0.332840103217013,0.1451806692921435,-2.292592428729248,0.02187148068591238,-0.23942177863246442,0.28634790607342897,0.11166293718258488,0.027337243042076634,0.3551016059804398,-88.72508749226387,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,C5SER,82,9,-0.04051448934498521,0.03980088034892749,-1.0179294776849566,0.3087114717011481,-0.12395938687073567,0.056672750145017874,0.01494779923582511,0.2825985621126539,0.01478373232610571,10.169552755173584,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,C5SER,82,9,0.008844445087832145,0.35308726552808806,0.025048892869597335,0.9800159649565798,-1.0479188228218366,0.10270100053579395,0.014329856225763837,0.9076681132709601,2.0851603003377003e-10,-150.7975914200299,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,C5SER,130,10,-0.23632777745641212,0.10249087239822081,-2.305842187957751,0.02111945194275866,-0.13390985594061822,0.44054198867260774,0.0881709301768336,0.02368098808795873,0.10206662050920186,-126.9104130816333,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,C5SER,130,10,-0.050945884618420215,0.06730867706995157,-0.7568992117535445,0.44911024765712204,-0.31231135345409183,0.010359769626013699,0.01660683536388022,0.5155817102106524,0.000961410804108086,-79.51969296277917,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,10,-0.023833328687998125,0.029761050089545996,-0.8008228411392624,0.4232342138441194,-0.14496162516298766,0.006365875551581145,0.007532045800719144,0.5048335536196447,3.2854187438330043e-12,18.47716933106574,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.032380755698412596,0.07452109394990271,-0.43451798654728246,0.6639123363861026,0.023520710788851165,0.9213536236535045,0.023793012097434632,0.7074305795901263,0.3935640873652652,-91.74352756995569,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.03766359193822149,0.020365428269516726,-1.8493886521697611,0.06440171284149399,-0.04329793328893894,0.5056253623462585,0.03280546050820327,0.05967610534984714,0.016154691695739916,9.534174886139326,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,-0.3226404115931889,0.1836436716969968,-1.7568828188402268,0.07893778473445945,0.37314610629915856,0.5344404826905728,0.2825879588331875,0.07256692590393382,1.4168937797223861e-07,-151.106467598454,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.18515249999668446,0.06340751268675526,-2.92004042031063,0.0034998598845406015,0.014332589340158085,0.9388201810556966,0.1560693427727412,0.003998224674440081,0.09745502809498004,-125.5350399116299,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,C5SER,130,10,0.0005160159381587446,0.04296484146779075,0.012010190670564531,0.9904174846633547,-0.2648143769782176,0.0504534461977731,-0.0011979366507878738,0.9739566258703211,0.00045030123549079273,-81.11501522203542,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,10,0.003252698061861511,0.019028329965108438,0.17093975497722955,0.8642711367386937,-0.11158149458596392,0.05733931487449377,-0.0034503343482741888,0.8319304110888861,3.3853946798342926e-12,16.393987028159984,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,C5SER,82,9,-0.11848337764423843,0.18823338851661142,-0.62944931596863,0.5290549405320593,-0.33661037352280826,0.3403269153506914,0.028388916666535417,0.5654681273295383,0.38265186574507026,-90.62225775782997,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,C5SER,82,9,-0.018682952092787513,0.045873970453654885,-0.407266951345804,0.6838119329994081,0.012175623534966455,0.8906482702981853,0.005359194226858781,0.656312337176227,0.013664535144470986,8.89835208726771,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,C5SER,82,9,-0.24065142707481113,0.41367516525182474,-0.5817400880913762,0.5607417647305413,0.0785113086461143,0.9216271055541388,0.07540258369911562,0.48737885603234266,3.178301877893911e-07,-152.15222226844287,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,C5SER,130,10,-0.44764904390274324,0.14057654155830432,-3.184379405984178,0.0014506474056128482,-0.2663267673549828,0.22547243705646336,0.11611852753503854,0.001864415866578825,0.08178655677383011,-123.74302409341351,True,False,powell,sensitivity
