fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,130,8,0.1128522758038074,0.13017415312609695,0.8669330515597039,0.3859786927872255,1.1311424458961649e-07,-76.39384244634869,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,130,8,0.048039189441516375,0.057754304566602084,0.8317854366355971,0.4055300656228673,3.405804754671773e-12,22.73329377746569,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,82,7,-0.12346591392730284,0.19579545646130786,-0.6305862054143303,0.5283111208213342,0.40142684125288036,-86.31740448300377,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,82,7,-0.053871004240827594,0.0561912857034863,-0.9587074502102958,0.3377061442013698,0.012818035929715157,16.5444554512122,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,82,7,-0.7898435489925706,0.5638413175797982,-1.4008259493696775,0.16126612682891306,1.7841548598920616e-08,-148.75685632544338,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,130,8,0.16732729578034633,0.1792527608549323,0.933471233482216,0.35057671634380005,0.03780809160338564,-123.48571117179057,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,130,8,-0.3544568534287928,0.1189278445572761,-2.980436202710165,0.0028783818709774422,6.575941511377741e-11,-72.51233158832207,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,130,8,-0.14875055455731723,0.05295442208339295,-2.8090298922168184,0.00496910325229627,3.2280226208623074e-12,26.175894676226733,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,82,7,-0.05773369146362087,0.23171723986581813,-0.24915578787773002,0.8032402772784617,0.3953834044808174,-86.4372233691351,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,82,7,-0.08732271909010161,0.05602710920355283,-1.5585797720322905,0.11909587373440855,0.012345486755129616,17.29213140253262,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,82,7,-1.0038036328036486,0.5411394900915003,-1.8549812962900143,0.06359889753036185,2.6646984551429065e-08,-148.05618228329286,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,130,8,0.030713029833992517,0.1628076820172024,0.18864607279862478,0.8503702202051104,0.03374174111177425,-124.00143891974125,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,130,8,-0.2805262024063136,0.11194396597357793,-2.505951973083802,0.012212220646304006,0.000637142486506849,-73.67299102813564,True,False,powell,sensitivity
