persistence_var,affect_var,moderator,n,n_groups,beta_interaction,se_interaction,z_interaction,p_interaction,beta_persistence,p_persistence,p_persistence_one_tailed,beta_moderator,p_moderator,group_var,log_likelihood,converged,optimizer,tier
neg_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,131,10,-0.06307989306451285,0.16415585691775966,-0.38426830604110096,0.7007795961814327,-0.19028238640258435,0.36562004925349445,0.18281002462674723,-0.0006180445031406694,0.8606768738369192,1.319262483279051e-10,18.71111064088936,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,PA_score,C5SER,83,9,-0.12856001107643789,0.39101819642589414,-0.3287826813471649,0.7423199542877146,-0.54708083991546,0.2999621314463613,0.14998106572318065,0.0007197361555245308,0.9569563561344328,0.40399171408649837,-89.64277208050814,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score,C5SER,83,9,-0.03079719311814696,0.11069411846490419,-0.27821887508785104,0.7808443464164627,0.016741876488585515,0.9261348265594262,0.4630674132797131,0.0015602608541681892,0.6710942079640234,0.012963746981419576,11.213854995760173,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,9,-1.0905729082293316,1.0263325261287435,-1.0625921720934817,0.2879669384525876,-1.9967023246637416,0.2609364526753103,0.13046822633765515,0.04656358379308463,0.16653427414740896,2.200229325027044e-10,-151.56597892801727,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGP,C5SER,131,10,-0.45438811046519095,0.37863711612136236,-1.200062252532973,0.23011516419888145,-0.6755162155806763,0.1782376613890615,0.08911883069453075,0.013468569724107926,0.29959957946733085,0.027132861013645627,-127.4291896669281,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN,C5SER,131,10,0.05704793365847848,0.2553868835809541,0.22337847918644213,0.823240952309723,-0.19742320071578467,0.5779069995104045,0.28895349975520224,-0.004803033512331816,0.5844561868900617,1.927958059259066e-11,-80.42293141591472,True,powell,sensitivity
pos_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,131,10,0.029404556669737642,0.11275921598631193,0.2607729790645859,0.7942675832275181,-0.12353571266925306,0.4207359923288745,0.21036799616443724,-0.0025527947058485096,0.5107585372012935,5.0101739054219426e-08,18.301650355983384,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,PA_score,C5SER,83,9,-0.5326848570894706,0.31786690743069373,-1.6758109908173273,0.09377522062030272,0.17052779716270275,0.7636471414736101,0.38182357073680506,0.06488752406409758,0.11733083282057513,0.3496093645106539,-87.77760965542717,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score,C5SER,83,9,-0.12116370732453957,0.0862469015794865,-1.4048470739887762,0.16006675759554267,-0.2624941091117526,0.09612161340217892,0.04806080670108946,0.01644928292992023,0.14443961881669,0.013219646557517601,12.373831578354654,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,9,-0.9552022185454329,0.7844907795539094,-1.2176079610375998,0.22337298769134806,-1.4974278560757148,0.318424056050563,0.1592120280252815,0.13840253622585594,0.177567706226046,2.033234890261184e-10,-151.74786539884508,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGP,C5SER,131,10,-1.060816887492716,0.29673135055123895,-3.5750077823662125,0.00035021747850800394,-0.7439178472804558,0.11169735544577963,0.05584867772288982,0.14373236680055956,0.0004357234692354852,0.15609241365168264,-122.14733458327919,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN,C5SER,131,10,0.11463155236135528,0.18942923562247757,0.6051418197654025,0.5450847693715224,-0.06499094274087677,0.839050124755986,0.419525062377993,-0.018563991868081928,0.47570698743644513,2.0436169373687367e-11,-80.77828536996242,True,powell,sensitivity
pos_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,131,10,0.0648225336432056,0.08334106577887145,0.7777982323288137,0.4366879702069655,-0.04701052104202591,0.739529729145888,0.369764864572944,-0.010411722670427196,0.36306974281852755,3.4130844632815075e-12,17.857090828711875,True,powell,sensitivity
pos_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,9,-0.5546443130138226,0.4274308850687362,-1.2976233875206018,0.1944167814890756,-0.5867426205742321,0.3638777750905543,0.18193888754527715,0.0441799940614809,0.2334764789569138,0.3788875108245191,-89.00092271212074,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,9,-0.12797226834022973,0.11930343799290338,-1.0726620329905496,0.2834227810697738,-0.18997727741178802,0.35938316751898913,0.17969158375949457,0.011696677182322621,0.2600482949470829,0.01411095497904758,12.049315689402846,True,lbfgs,sensitivity
pos_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,9,-1.6752727969662402,1.097274129437453,-1.5267586759063696,0.12682103085353358,-3.07004442034437,0.16918686381548764,0.08459343190774382,0.15932221878817673,0.0955181511222315,1.1683453074998157e-07,-150.52935169702954,True,lbfgs,sensitivity
