fc_var,condition,seed_target,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,82,0.03234768826525263,0.09201192653056092,0.35155973236261545,0.726562335269993,0.32261348652099375,-0.03525108663772669,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,82,0.3069846295877825,0.8211739953262909,0.3738362774941541,0.7100174789625173,0.3613225053091641,0.023907979812118674,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,130,-0.21960702356035422,0.26356822354623954,-0.8332075111544206,0.4070906122476148,0.379519880987249,0.047119817230418026,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,130,0.23631749869748936,0.19976591884621947,1.182972050800154,0.24015761674075733,0.2142258820128936,-0.20672453833734195,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,130,0.07431684313568314,0.08633714533215481,0.8607748478337178,0.39181237026112337,0.2640938224438809,-0.13014162981832578,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,82,-0.381663234626782,0.3212128397170757,-1.1881942046991365,0.24005415766299462,0.3626128365998129,0.025879995558204527,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,82,0.14349707308991838,0.08016699372872864,1.7899769770023792,0.07917089006076886,0.3597396086621324,0.02148883587986261,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,82,1.2479126348519816,0.7166683913262626,1.7412692536119827,0.0874386200582338,0.39428980940763014,0.07429197286826483,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,130,-0.020553176706970405,0.22107432255579954,-0.09296953381722,0.9261491467484586,0.3744561657491805,0.03934339740052717,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,130,0.1460296151426278,0.1675072859489354,0.8717806769739254,0.3858129854725103,0.20829807741299178,-0.21582795254433407,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,130,0.06640687038268958,0.07207782659092138,0.9213217645918018,0.3595210089493591,0.26502965866021044,-0.12870445277181974,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,82,0.03675133785598522,0.2772610025308881,0.13255141372393675,0.8950501271769706,0.3458510749726985,0.00026296363752031926,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,82,0.004564878651999213,0.07033691558987978,0.06490018241084226,0.9484976544666301,0.3210877983335735,-0.03758279877321802,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,82,-0.2992771703639201,0.6265053240622498,-0.47769294029843523,0.63483305055526,0.36238364809947654,0.02552972634070938,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,130,0.1635457753314054,0.2030144382116417,0.8055869167340188,0.4227556656411853,0.37918809068305714,0.046610282120409074,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,130,-0.4539939061074816,0.14698299114714303,-3.0887513076461572,0.002724614324466536,0.28261299712920596,-0.10170146869443375,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,130,-0.18765985995611495,0.06355970121655219,-2.952497515945601,0.004086108427827804,0.32740259231217594,-0.03291744752058712,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,82,0.24127960067613208,0.25903744922402955,0.9314467904116075,0.3558461645421652,0.35617345546969115,0.01603867722726371,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,82,-0.07161355180122653,0.06550673983812716,-1.0932241778203255,0.27923951309961315,0.3360067547569964,-0.01478212952232627,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,82,-0.9101301786749981,0.577901702911529,-1.5748875182226796,0.12123346124061993,0.3882660583930926,0.06508586282717921,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,130,0.03677321429861807,0.1733656384754647,0.2121136265640226,0.832532237518324,0.3747267089711249,0.03975887449137039,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,130,-0.31709159656538444,0.1273645823150534,-2.4896371565920563,0.014759157240636566,0.2560318624096294,-0.1425224970137835,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,130,-0.14482171946142755,0.05457898536224515,-2.6534337071353393,0.009526798395363802,0.31501658943938904,-0.05193880907522397,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,82,-0.13561347478269942,0.2687873556686345,-0.5045381485499859,0.6159745712897611,0.34876211236810795,0.004711907581447905,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,82,-0.01850907337609943,0.06829491719098409,-0.2710168507026595,0.7874308243778666,0.32197348770519185,-0.03622919803546165,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,82,0.5264298773331055,0.6057220740098093,0.8690947547085437,0.38871411880155005,0.3686362376865603,0.03508557080398833,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,130,0.010227699624999614,0.20835391515407478,0.04908810865126472,0.9609656109640046,0.37440974508706804,0.039272108526568705,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,130,-0.3596050658880907,0.1536450325664431,-2.3404926269424373,0.02162921900560089,0.2500421681523344,-0.15172095605177227,sensitivity
