fc_var,condition,seed_target,affect_var,n,n_groups,beta_fc,se_fc,z_fc,p_fc,group_var,log_likelihood,converged,degenerate_re,optimizer,tier
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score,93,8,-0.05356234305708883,0.06004260658831307,-0.8920722483676187,0.3723542086041798,0.0286818743056613,4.646762333212195,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,NA_score_log,93,8,-0.6285824740622523,0.5033197820197686,-1.2488729760229529,0.21171153717714386,5.942624997330148e-10,-165.23697959406226,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGP,148,8,0.26374938396630404,0.1645622931123232,1.6027327948467511,0.10899365985139764,0.03964963228570941,-141.29863905809623,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN,148,8,-0.2486710335689876,0.11076224044934257,-2.2450885117543105,0.024762450968273564,0.0027048482353903805,-85.27489174854816,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,C5SPGN_log,148,8,-0.10201377934630006,0.050145699943772486,-2.0343475005969878,0.041916571099254174,0.0011523289802752008,25.56956129597259,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,PA_score,93,8,-0.06377033080605432,0.22885770265516586,-0.278646207080655,0.7805163484160009,0.3853337236000923,-96.68841956028311,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score,93,8,-0.053415138755369136,0.060238513538984975,-0.8867273711991597,0.3752256982956319,0.02875237788118271,4.644596977143351,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,NA_score_log,93,8,-0.8393903849222465,0.49491631726641855,-1.696024874585806,0.0898811694113475,1.9212572274887231e-10,-164.57052680331273,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGP,148,8,0.11133702779786744,0.1513722193502333,0.7355182362773216,0.46202393787941487,0.037006664883293496,-142.3912754255768,True,False,powell,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN,148,8,-0.24212373440219667,0.10110381227952428,-2.394803212096405,0.016629287613954213,0.013754695684701234,-85.04800031495114,True,False,lbfgs,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,C5SPGN_log,148,8,-0.11323214231711495,0.04548738749377626,-2.4893085436618616,0.012799183442364193,0.0021752465727538977,26.46009107244282,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,PA_score,93,8,-0.05540109534567016,0.21555073349504136,-0.25702114044044594,0.7971624534329633,0.3774752947546832,-96.52367972796517,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score,93,8,0.023543478993714662,0.06871693829503767,0.34261536642727336,0.7318878403018767,0.028129613865490483,4.427927950393581,True,False,lbfgs,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,NA_score_log,93,8,0.8075310316260211,0.5039205211131071,1.60249681803446,0.10904579060679254,1.921713378240489e-10,-164.7323280204818,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGP,148,8,0.13562030229597674,0.17567509707748982,0.7719950326035966,0.4401173695713321,0.03550791826477526,-142.2145159815655,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN,148,8,-0.23951098004372315,0.1207810674725851,-1.9830175792914513,0.047365465961208164,0.022883150803728467,-85.75161671436393,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,C5SPGN_log,148,8,-0.1037805999718756,0.053901982659138606,-1.9253577484924018,0.05418461761420046,0.0032387217725897005,25.41820935762337,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,PA_score,93,8,-0.13739154827090674,0.19714228098988076,-0.6969156873961451,0.4858555596957901,0.37071949576995533,-96.41151147285976,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score,93,8,0.0684556133783625,0.06235634207328311,1.0978131670698603,0.2722860806838212,0.02802507777148132,4.8901155833133885,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,NA_score_log,93,8,0.5585559161461761,0.46956855073092824,1.1895087847700416,0.23423951620202144,1.9531972587759639e-10,-165.40363404708606,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGP,148,8,0.21571739660082748,0.17023310949623477,1.2671882528562914,0.20508798513377458,0.01712715125734101,-141.7616234184498,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN,148,8,-0.05372660545605087,0.11305797121556178,-0.47521289192084587,0.6346352390983658,3.533491344316789e-11,-87.6320137860684,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,C5SPGN_log,148,8,-0.02977796960389513,0.05104915702616841,-0.58331951668919,0.5596782265795954,0.0006745905388108359,23.706374702900632,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,PA_score,93,8,-0.03404850540403852,0.2097685017003609,-0.1623146713069169,0.8710580618494852,0.37867033720400156,-96.61135475049201,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score,93,8,0.006631456256040119,0.06711122018006659,0.09881292931714268,0.9212868026260377,0.028658072679095214,4.3229901619658335,True,False,lbfgs,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,NA_score_log,93,8,0.3778553973600653,0.4862604975565877,0.7770637328319951,0.43712116975970616,2.1509854415199115e-10,-165.7770599914057,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGP,148,8,-0.07144393562449854,0.1760778989717791,-0.40575186347463865,0.684924930755729,0.03332583595682661,-142.43250770795942,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN,148,8,-0.21751995426086418,0.11736084827776767,-1.8534286131439817,0.06382094932426319,3.975504245978164e-11,-85.99890085988415,True,False,powell,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,C5SPGN_log,148,8,-0.10040431514509524,0.05297193881251787,-1.8954245850893523,0.05803617415258833,0.0004654422209188292,25.35846950491242,True,False,powell,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,PA_score,93,8,0.0722434131726466,0.1752461185218393,0.41223973336472824,0.6801637168021077,0.3682378175785927,-96.71181069228646,True,False,lbfgs,sensitivity
