fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score_log,C5SER,82,0.4023071752802799,0.44968906379283724,0.8946341098159656,0.37518556128112,-0.20914046118364965,0.7639353955712247,-0.09239186618587378,0.45567127165020127,0.3940236503940219,0.037566974155211263,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGP,C5SER,130,-0.3379282485157067,0.1305263053997269,-2.5889666261588196,0.011386577900594762,-0.08667019402221077,0.646474872527414,0.09605322389349696,0.014210871141922902,0.4242234150035151,0.0942051284811396,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN,C5SER,130,-0.06929642457392493,0.10079345885141824,-0.687509143585163,0.49370199078127064,-0.2977675728029788,0.04373978241987609,0.017599190053191473,0.553843063343053,0.24310478427599813,-0.1907254003462957,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN_log,C5SER,130,-0.029720649906321756,0.04323965307275803,-0.687347094490137,0.4938035442678529,-0.13388125378834365,0.034774057815358125,0.007244825650930667,0.5699426835957608,0.30159455378236755,-0.09871100685456824,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,PA_score,C5SER,82,-0.0151798041646935,0.30044343708656435,-0.05052466551406102,0.959901660434644,-0.011866276593873626,0.9793304810887111,-0.001944119580805967,0.9750118673744694,0.3517188280620458,-0.02962303778380959,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score,C5SER,82,-0.08554363936768977,0.07539625123095026,-1.1345874359940855,0.26185287095373727,-0.07289516393289609,0.5267589848608953,0.018243640833764497,0.24463741801229663,0.3416067162907779,-0.04568345059699985,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score_log,C5SER,82,-0.01592858173115569,0.6771417850475009,-0.023523259209352016,0.9813246838977907,-0.18923582679940498,0.8545699994925686,0.018960377876847095,0.8921930643602242,0.37135125351557563,0.001557873230620177,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGP,C5SER,130,-0.48535943888518585,0.17311183074143363,-2.8037334987817037,0.006303882487436593,-0.3128192830172799,0.20773980896710356,0.10721343038698956,0.007895364405608065,0.4297988950604471,0.1029763105219228,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN,C5SER,130,-0.19935238730390908,0.1320553585708511,-1.5096122524778228,0.1349861975053832,-0.5033910485776564,0.008927855481370825,0.04234764293996663,0.16229625648366847,0.2685245291381536,-0.15073580172168533,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,-0.08634152201336187,0.056561305882093314,-1.5265121741239118,0.13073047643243463,-0.22641523857669965,0.006141638980902576,0.01805160419811056,0.16428538203051998,0.32718026969143776,-0.058460307436640546,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,PA_score,C5SER,82,-0.1761000235354313,0.16236064786260035,-1.0846225723640748,0.28318959451706277,-0.2924160752724101,0.46819350678992855,-0.09152722399067806,0.25488506462177096,0.3679903339402494,-0.0037800578596038914,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,C5SER,82,0.06855484121826545,0.04061972584336039,1.6877228931241364,0.09757177292206325,0.10399559154468138,0.30371503084558893,0.034438922252806384,0.08934031544117174,0.36205378354435314,-0.013208696723674418,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,C5SER,82,0.9927236712973643,0.34234151484939596,2.8998051017390827,0.0054959827036776985,1.3817475919979425,0.10758998496654726,0.5018057538669529,0.00423679592965673,0.4635958044590607,0.14806392472909646,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,C5SER,130,0.0703076912429938,0.11142802725362302,0.6309695412893328,0.5298152402959095,-0.22966111770475928,0.40065035317110587,0.032630226583850314,0.5660620148052902,0.38386479118745775,0.03071412272173224,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN,C5SER,130,0.06023697323157402,0.08442647558915996,0.7134843994282313,0.47757183535895176,0.2328572866693897,0.261529213499258,0.028606308385487382,0.5068392538973918,0.2202459898181207,-0.22668618674954177,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,0.025206886305604647,0.0364533785399174,0.6914828560541364,0.4912152970986313,0.06905597966909588,0.43967641511790123,0.011489792599492319,0.5368590533920968,0.2711334470118578,-0.14663152848134575,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,PA_score,C5SER,82,0.6715167725317166,0.3453693343823931,1.9443439404733396,0.05737952593953578,0.19358907966493388,0.6591413799018779,0.09121801180798204,0.07517115105426893,0.4132472235437463,0.06809853151065592,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score,C5SER,82,0.02752064228489079,0.08949723578098075,0.30750270714773587,0.7597130206204925,0.16983758774766589,0.13922858481927874,0.0049411116730312885,0.7057345732697524,0.36458893859667907,-0.009182273993509682,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,NA_score_log,C5SER,82,-0.04358026066895171,0.7944250722289453,-0.054857609851961364,0.9564662440270117,1.2486835177277604,0.21911956869699012,0.010654420049850094,0.9268689359819349,0.40734172719053274,0.05871921377319911,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGP,C5SER,130,0.06734210353585124,0.20475979687182183,0.32888342616400873,0.7430822851443397,0.005066330336495284,0.9831145593512641,0.008568841018650158,0.7888822264393713,0.3757755950114342,0.01798843605457323,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN,C5SER,130,0.02051151548716454,0.15501197018734839,0.1323221391378627,0.8950536531307658,0.15148286391916377,0.4042136818407631,0.00038633984655260176,0.9872739633970573,0.2113306016515204,-0.2407116144750472,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,C5SPGN_log,C5SER,130,0.016867397107517543,0.06661119132702092,0.25322166998498435,0.8007306892451479,0.07170305195931903,0.35841866780508214,0.0010857754336883185,0.9169195347595568,0.269818084017481,-0.14870081904567023,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,PA_score,C5SER,82,0.10627713443286879,0.12959438064896156,0.8200751753330008,0.41598966148445005,0.16895035418751814,0.5811190822361851,-0.07895476782198668,0.3834629152673279,0.3612408000978087,-0.014499905727009654,sensitivity
