persistence_var,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_persistence,p_persistence,beta_moderator,p_moderator,r_squared,adj_r_squared
pos_persist_crossrun_mean_z_L,NA_score_log,C5SER,83,-0.004303912514171948,1.2836958324124976,-0.003352751022088655,0.9973377262492225,-0.24819612949701586,0.9042527207685044,0.015498291607050116,0.7018443534097899,0.3702823751478723,0.0069837454254909614
pos_persist_crossrun_mean_z_L,C5SPGP,C5SER,83,-1.1910896340065682,0.488558707408111,-2.437966238132375,0.018224066360296547,-1.565270194158506,0.0503976431411007,0.03171028805501665,0.04348422288016643,0.4837816971213851,0.1859634454606457
pos_persist_crossrun_mean_z_L,C5SPGN,C5SER,83,-0.20717956487835043,0.2950636932587262,-0.7021520085722146,0.4857155672334065,-0.3207473526783241,0.49976012156406247,0.00357922025776951,0.7005029829928282,0.30591352329502597,-0.09452098249630514
pos_persist_crossrun_mean_z_L,C5SPGN_log,C5SER,83,-0.08145656863079992,0.13889710007384354,-0.586452622750901,0.5601087198306574,-0.17146637460505793,0.4437272057878111,0.0009131179144380216,0.834789432292572,0.35065300373119623,-0.02397026334695984
pos_persist_crossrun_mean_z_R,PA_score,C5SER,83,-0.004340396462485657,0.4266747628311832,-0.01017261117973121,0.9919224985116073,0.8898042849461623,0.2648663078141272,-0.00521374003662258,0.9257105713994663,0.3738080021491972,0.012543388004503275
pos_persist_crossrun_mean_z_R,NA_score,C5SER,83,-0.1675236192099877,0.10705743773830487,-1.5648013136601362,0.12369545774445476,-0.3392119718309329,0.09276526247106505,0.022655683494216393,0.11070814110558712,0.36499130052141093,-0.0013598722546981357
pos_persist_crossrun_mean_z_R,NA_score_log,C5SER,83,-1.8014354134253456,0.947110214472303,-1.902033560507045,0.06271248512809166,-1.6994668564728472,0.33663295848887553,0.24803776391526114,0.04983954270677272,0.4112247403161765,0.07154670588320144
pos_persist_crossrun_mean_z_R,C5SPGP,C5SER,83,-0.4559057309826351,0.38862991819479376,-1.173110225533693,0.24609734299737088,-0.48588101423036045,0.5022132418863433,0.05646163882487698,0.27040009342637544,0.43895296618476354,0.1152719851375118
pos_persist_crossrun_mean_z_R,C5SPGN,C5SER,83,-0.10444268938399975,0.22140105824355052,-0.47173527630165335,0.6390892258376719,-0.5956085683100354,0.15196566802938516,0.011577382124271583,0.6900929425453356,0.32877465783234094,-0.05847073187976992
pos_persist_crossrun_mean_z_R,C5SPGN_log,C5SER,83,-0.06416751272188972,0.10286667492675987,-0.6237930094228904,0.5354905001369232,-0.35551142383118156,0.06741723579934732,0.007119799897529408,0.5978745931767342,0.38826009942718887,0.035333233712105505
pos_persist_crossrun_mean_z_bilateral,PA_score,C5SER,83,-0.4869108652149302,0.5407338891602046,-0.9004630095796935,0.3720253944454863,0.1198283194954759,0.9077711211732044,0.03627889447818869,0.44305619280388864,0.371133880163237,0.008326503334335267
pos_persist_crossrun_mean_z_bilateral,NA_score,C5SER,83,-0.07921674207604892,0.13927649103244388,-0.5687732472926512,0.5719584862075793,-0.1378315697112546,0.6053489401933938,0.007663277089355332,0.5289320594909359,0.3279848925573281,-0.059716130967290226
pos_persist_crossrun_mean_z_bilateral,NA_score_log,C5SER,83,-1.4825625354812222,1.2218836496063115,-1.2133418234697722,0.23048196121194725,-1.8393181676281354,0.43265484564817114,0.1424406918428325,0.18510016907686933,0.3872467309507287,0.03373522957614916
pos_persist_crossrun_mean_z_bilateral,C5SPGP,C5SER,83,-0.9502310852582978,0.4796581308577942,-1.9810590587903865,0.05288449204427023,-1.4325392009331945,0.12272258113231234,0.07920072444985114,0.06268001453570664,0.4655982789882098,0.15728959378910012
pos_persist_crossrun_mean_z_bilateral,C5SPGN,C5SER,83,-0.15575185699354976,0.2827764774776207,-0.5507949543146713,0.5841329940517492,-0.5923588256164253,0.27619459466700125,0.011277442673359912,0.6478220234551437,0.3153431795054472,-0.079651140010641
pos_persist_crossrun_mean_z_bilateral,C5SPGN_log,C5SER,83,-0.07971220190342586,0.1319384568021355,-0.604161999734225,0.5483629065533816,-0.360020382488619,0.1577048167291306,0.005587215237849313,0.627695703774849,0.37072913734767,0.007688255048248882
neg_persist_concat_z_L,PA_score,C5SER,84,-0.06839136973888882,0.24244526133261793,-0.2820899421294964,0.7789731790429398,-0.35392172692252366,0.4064128595367079,0.008319285973499901,0.8594729151900774,0.34062367182001374,-0.03260821205545028
neg_persist_concat_z_L,NA_score,C5SER,84,-0.011921251385237308,0.059248154322442945,-0.2012088228159639,0.8413055163294186,0.11924075972736106,0.25376566891983904,0.0029018060274419053,0.8005302071988035,0.3566197687577467,-0.007557720624660869
neg_persist_concat_z_L,NA_score_log,C5SER,84,-0.12262214969849516,0.5412875259576382,-0.22653791897670983,0.821654531760753,0.13810329296818669,0.884264514724004,0.03830303807374928,0.7151655087545743,0.36795698690592293,0.010196790814935852
neg_persist_concat_z_L,C5SPGP,C5SER,84,-0.09796960189351056,0.220696332276708,-0.4439113277636021,0.6589138480395439,-0.5267007326210278,0.17702861266369857,0.016594180932983732,0.6982176570394967,0.425384191530636,0.10012996032156196
neg_persist_concat_z_L,C5SPGN,C5SER,84,-0.16964075144401816,0.12493760769926447,-1.3578037435482035,0.18027895454457143,-0.0955233349742543,0.6629363474546965,0.029927797603182538,0.21972040748249685,0.30178320758369226,-0.09343384472742544
neg_persist_concat_z_L,C5SPGN_log,C5SER,84,-0.09060546223797347,0.05919180204725284,-1.5307096439747365,0.13178859812847035,-0.06817392680513676,0.5119310021582948,0.015840115025119686,0.1711069606605601,0.34263844554800904,-0.0294530003682123
neg_persist_concat_z_R,PA_score,C5SER,84,-0.2338674712787817,0.33257833235083917,-0.7031951529303879,0.48501178998518757,-0.2772663155195978,0.5675963889746694,-0.011603134488047905,0.322926056346564,0.3371183407731442,-0.03809769275149133
neg_persist_concat_z_R,NA_score,C5SER,84,0.11470835866679951,0.08082439270597039,1.4192294532183496,0.16168689597143168,0.2001587907296359,0.09337563800526989,0.003983603078356513,0.16451279536741947,0.3603460151308273,-0.0017222781913459606
neg_persist_concat_z_R,NA_score_log,C5SER,84,0.10140419030516035,0.7386764410897915,0.1372782244896774,0.8913310684531057,0.5536083249941146,0.6072522258500213,0.01809975405193106,0.48652110801178916,0.37115843157798545,0.015210373980618641
neg_persist_concat_z_R,C5SPGP,C5SER,84,-0.3531599281514868,0.3031652659324388,-1.1649089385793603,0.24927234406165033,-0.2477250664504581,0.5752909967097608,-0.012519895855414617,0.2428549008072922,0.42072021747638133,0.09282600095357829
neg_persist_concat_z_R,C5SPGN,C5SER,84,-0.17909539860176427,0.1725022688181616,-1.0382205395254982,0.3038809334511266,-0.19675176176882136,0.43483154614136565,-0.007097101199040386,0.24460720790123322,0.28889179500063333,-0.11362228330089508
neg_persist_concat_z_R,C5SPGN_log,C5SER,84,-0.07639104101058516,0.08212967998748541,-0.9301270992681978,0.3565226141801453,-0.10352236699378232,0.38841525105504504,-0.0034389000973347483,0.23644894211259082,0.32388030445554894,-0.058828957173385765
neg_persist_concat_z_bilateral,PA_score,C5SER,84,-0.05822885275278933,0.3627040036685927,-0.16054097049889138,0.8730652977268454,-0.28886681731693864,0.5776510040242075,0.001886248246743924,0.9648902454269215,0.33631036828979644,-0.039363008149941425
neg_persist_concat_z_bilateral,NA_score,C5SER,84,0.012112844000303519,0.08831094813634352,0.13716129490085946,0.8914230394551148,0.15511459638456915,0.2220373060988672,-0.0007620313807133461,0.9417780354631143,0.3571620045355465,-0.006708558934898967
neg_persist_concat_z_bilateral,NA_score_log,C5SER,84,-0.6266246803356539,0.7993798516195852,-0.783888509406485,0.43659489932658013,-0.019085784576840736,0.986662163428055,0.08699247358016958,0.3589163753284842,0.3800575505192586,0.02914673005846158
neg_persist_concat_z_bilateral,C5SPGP,C5SER,84,-0.2713336215802741,0.3329872169342396,-0.8148469604280898,0.41880646165028934,-0.4085740224187534,0.39192835886822497,0.02877546607748606,0.4656393731557821,0.41170271489330634,0.07870425162536643
neg_persist_concat_z_bilateral,C5SPGN,C5SER,84,-0.3355223373169637,0.18375422514194237,-1.8259299183884716,0.0734964867355229,-0.243666887839103,0.3551221927581656,0.03647253969351348,0.09729549124938708,0.3207448060181828,-0.06373926604699687
neg_persist_concat_z_bilateral,C5SPGN_log,C5SER,84,-0.1652739353859698,0.08731063993681072,-1.8929415189899352,0.06383165623770991,-0.14157924678876227,0.2591028644856722,0.01773278737710863,0.08995524960373891,0.35676465212982744,-0.00733082779668548
neg_persist_crossrun_mean_z_L,PA_score,C5SES,83,-0.8811619667275694,0.6913672102908784,-1.2745209110464448,0.2081450300345989,-2.111712301517386,0.05910393894084688,0.011952296116047575,0.4226702495398137,0.39347562951956105,0.04355772347315401
neg_persist_crossrun_mean_z_L,NA_score,C5SES,83,0.31284406347633575,0.16752401366923333,1.867458023624175,0.0674785992437101,0.809706178447994,0.003559225614295719,-0.005267343895440274,0.14762189688324406,0.4263893294650143,0.09546009646406106
neg_persist_crossrun_mean_z_L,NA_score_log,C5SES,83,2.7961015252475,1.5625745167830554,1.7894196374096538,0.07937165405773153,4.4115684581218275,0.08030752279992565,-0.04118256489853729,0.22346353199364372,0.4087827680580859,0.06769590347621235
neg_persist_crossrun_mean_z_L,C5SPGP,C5SES,83,-0.29928396218042286,0.6231270930833538,-0.4802936118529331,0.6330330299853859,-1.7699927415902075,0.07853240679628429,0.0034650070036372355,0.7959279648150608,0.4678952025985732,0.16091166563621162
neg_persist_crossrun_mean_z_L,C5SPGN,C5SES,83,0.4139063039898433,0.36790638990572544,1.1250315714709527,0.2657418397156413,0.48696827831308886,0.4068427835010089,-0.010373867105152318,0.19322778819923203,0.3162446787479859,-0.0782295450512529
neg_persist_crossrun_mean_z_L,C5SPGN_log,C5SES,83,0.22408881752792853,0.17259791097550847,1.2983286776844396,0.19990326673347247,0.2519492636854059,0.36065785456635824,-0.005740220450763027,0.1260741643535583,0.3646609173519827,-0.0018808610987965935
neg_persist_crossrun_mean_z_R,PA_score,C5SES,83,-0.7128185692454756,0.5631900604851141,-1.2656803080499615,0.2112691834367514,-1.6298872258538917,0.16750905398664204,0.043297800809853154,0.2633921449726441,0.37561941596304216,0.015399848249412651
neg_persist_crossrun_mean_z_R,NA_score,C5SES,83,0.19741910349762215,0.14324635297417954,1.378178916242338,0.17404954657384364,0.3898939785822966,0.19377181429400642,-0.01261145099871281,0.20111467277396466,0.3493626997519751,-0.026004973468039205
neg_persist_crossrun_mean_z_R,NA_score_log,C5SES,83,2.1716261155639627,1.2579287682827938,1.7263506251856078,0.09022189283857453,4.415212116686284,0.09554201997809604,-0.13419500466934026,0.12273631266601241,0.40558955102134553,0.06266044584135255
neg_persist_crossrun_mean_z_R,C5SPGP,C5SES,83,0.009759803654764365,0.5165497196825256,0.018894219245269933,0.9849978034762839,-0.6914579290310146,0.5201765826683619,-0.0024153191453894496,0.9454390855302817,0.4327468798625448,0.10548546439862838
neg_persist_crossrun_mean_z_R,C5SPGN,C5SES,83,0.0871954308319054,0.2961405843273802,0.29443931513119387,0.7695944617419683,-0.30228135119324895,0.6235842970091512,-0.008108723102909846,0.6888274245432162,0.3127248475511867,-0.0837800480923594
