fc_var,condition,seed_target,affect_var,moderator,n,beta_interaction,se_interaction,t_interaction,p_interaction,beta_fc,p_fc,beta_moderator,p_moderator,r_squared,adj_r_squared,tier
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score,C5SES,93,0.017319009327706702,0.06203542665826254,0.27917933768897474,0.7810515682866108,0.014536087757481886,0.894737444586439,0.0025418202532464145,0.6812914609813023,0.5289506024908552,0.2895648431009621,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,NA_score_log,C5SES,93,-0.1431346906428137,0.4280314858517246,-0.3344022469702084,0.7392230978424174,-0.0011238925647529263,0.9988169254227046,-9.138605459340504e-05,0.9982912935496768,0.3994240610203623,0.09421333793234976,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGP,C5SES,148,-0.08587252008178381,0.12959193417258516,-0.6626378457120823,0.5090869317423496,-0.19987051356781965,0.3248501372856303,-0.01416372357080779,0.43469923867108107,0.35488781943434733,0.051685094568490575,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN,C5SES,148,0.1112331550545929,0.0962055245272699,1.1562034051699739,0.25035274748556313,0.056437463992129885,0.7074659069906006,0.012615060362251351,0.34897218875420966,0.21171797112134338,-0.15877458245162512,sensitivity
l_amyg-ant_vmPFC_pos,pos,l_amyg-ant_vmPFC,C5SPGN_log,C5SES,148,0.055943055157844215,0.042285394172943566,1.3229876710866644,0.18885674597779725,0.02604400083853578,0.6935997478538873,0.0061919740413567985,0.2958619212177913,0.2613552757276396,-0.08580774468036978,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,PA_score,C5SES,93,0.06149367621469806,0.07436483691885122,0.8269187261420543,0.41150618680590123,0.3719490106381544,0.10634244104827108,-0.05289326242940149,0.34605208970002277,0.361778196822072,0.037435968977551304,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score,C5SES,93,-0.013787234277883295,0.023806121885996692,-0.5791465885921244,0.56462289970475,-0.028848695743073346,0.6926631514567443,0.011318301364733148,0.5279580073445773,0.5314555956135609,0.29334286551553457,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,NA_score_log,C5SES,93,0.12052496649318331,0.16368731113388887,0.736312214174007,0.46436297837555873,-0.2300274790063616,0.6467780776519876,-0.07425943947059904,0.5469641675432184,0.40675638976368456,0.10527193210260632,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGP,C5SES,148,-0.0086346076241944,0.055181351297761756,-0.15647691513753548,0.8759725854462792,0.22968903394820217,0.1712862710688886,0.002202395846952719,0.9599028915193233,0.3606220058609194,0.06011434861555154,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN,C5SES,148,-0.0554705159557876,0.04093905397626843,-1.3549535362478766,0.1784854012082792,-0.09727449522320214,0.4333750695556078,0.04223336309265534,0.19565410708247644,0.21971918094326792,-0.14701280401339623,sensitivity
l_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-ant_vmPFC,C5SPGN_log,C5SES,148,-0.022036822008329744,0.01807492212520222,-1.2191931924068082,0.22563890734622696,-0.03831163609869259,0.48449956629339663,0.016428443365436328,0.25379494945672576,0.26226323523073336,-0.08447304421082191,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,PA_score,C5SES,93,-0.04421991805262557,0.15061092105986051,-0.2936036626125558,0.7700574096858939,0.15838578290375793,0.5523301004920897,0.005119769864893396,0.8871953952394229,0.3411193304490664,0.006278334447772371,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score,C5SES,93,0.022479393062593153,0.04752437911802255,0.4730076116674263,0.6378959756450349,0.019727293357701348,0.814316565926087,-0.004315076689997088,0.7049086339468655,0.5300368414843212,0.291203105189468,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,NA_score_log,C5SES,93,0.5074023819743826,0.32078270546683946,1.5817635219328703,0.11887519636620515,0.12004111583995931,0.8323119102399614,-0.10506172020178942,0.17494864289613926,0.42656738304119446,0.13515080720967043,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGP,C5SES,148,-0.028483385312992937,0.10852084882966276,-0.26246924549679135,0.7934996432986074,0.1981017607506211,0.22748277244332107,0.0044111432467264546,0.8807644548247763,0.35995751824866773,0.05913755182554159,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN,C5SES,148,-0.12028122080812684,0.07968530915416197,-1.509452897715771,0.13433633555179597,-0.2166250161165023,0.07355213875664386,0.02997595402169972,0.16708836118514095,0.23485937050735184,-0.1247567253541928,sensitivity
l_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-ant_vmPFC,C5SPGN_log,C5SES,148,-0.04711818484106389,0.035153751967095734,-1.3403458295196196,0.18317025053122082,-0.09617205554798297,0.07177215991044499,0.011392254116510486,0.23337967971589754,0.27772706732240693,-0.06174121103606178,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,PA_score,C5SES,93,-0.07117693958227561,0.16733761364414815,-0.42534931646412116,0.6720789022680944,-0.05166783317519558,0.8776208672300243,0.009881497516422325,0.7822077212401173,0.33345401500516836,-0.005282469172532833,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score,C5SES,93,0.022485738189578976,0.052441966188377334,0.4287737440813665,0.6695983109032628,0.06072890834488717,0.5640821862510558,-0.003798723042745589,0.7345706096264456,0.5310376476771799,0.29271251780820573,primary
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,NA_score_log,C5SES,93,0.3442409811651349,0.36004627017415836,0.9561020615450946,0.34279458093945525,0.12034170852319359,0.86761541250091,-0.05826911510928836,0.4496005016221849,0.4079937801719409,0.10713816025932077,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGP,C5SES,148,-0.04807486854673235,0.12380150060943361,-0.38832217953801657,0.6986031032024813,0.12622274976316078,0.5673315122322389,0.007736467841940806,0.7887910321972744,0.3532589848238382,0.04929070769104216,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN,C5SES,148,-0.050354441616091,0.09020699940016211,-0.5582099166464516,0.5779487205075837,-0.35333300814858376,0.02976331698349876,0.009955949818328752,0.6362593951719487,0.2386902989095928,-0.11912526060289852,sensitivity
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,C5SPGN_log,C5SES,148,-0.011619855948467518,0.039677764694127045,-0.2928556091313139,0.7702393398432784,-0.15593025857440146,0.029237406821640752,0.0017335251140581627,0.8514220376672402,0.2855883687827755,-0.05018509788931991,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,PA_score,C5SES,93,-0.11767818219119389,0.12426850965579356,-0.946967035471384,0.3473919180846614,-0.2835951412088149,0.42577165617546475,-0.06240634048665669,0.30447871193141396,0.3440218910216275,0.010655966786716986,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score,C5SES,93,0.013724571784439608,0.03912534723797349,0.350784663991917,0.7269584708108066,0.09725740972146857,0.38588282772045013,0.007952433969784452,0.6765822846013683,0.5341772985012019,0.2974477288870586,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,NA_score_log,C5SES,93,-0.1833897254677496,0.2708065750475953,-0.6771982010980278,0.5008404887600768,-0.017654832455462066,0.9818003359757781,-0.07449834390052723,0.5725946118841181,0.402342685763874,0.09861519820125264,sensitivity
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,C5SPGP,C5SES,148,-0.03668409175083095,0.08326619174749822,-0.4405640630482316,0.660479527827316,-0.25482926841014564,0.30782226827571696,-0.022354614708689498,0.5951905937429062,0.3558209633450976,0.053056816117293515,sensitivity
