fc_var,condition,seed_target,persistence_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,tier
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.040023082955140996,0.08246764567998348,-0.48531860737786753,0.6287289458881623,0.32585887349757825,-0.03151714537117534,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.006071870563862813,0.044049664928476534,-0.13784146993448673,0.8906955952446463,0.3722561406527126,0.03596478743095144,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.0017406588852683265,0.038196973561286165,0.04557059690803721,0.96376066797192,0.3602583775219257,0.01753965119438583,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.003250506836995055,0.03219779644585609,-0.10095432594156302,0.9198272953390098,0.36098261233250806,0.018651868939208782,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.01657094068271416,0.04665350708704157,-0.3551917469312159,0.7233362642127633,0.32979381805236596,-0.029245207991009492,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.03175081252482463,0.0433314414581876,-0.7327430488427757,0.4657549793110082,0.35649423202462827,0.01175899918067902,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.019067994250448236,0.03487373551620682,-0.5467723479633202,0.5859847175703228,0.26110044479722805,-0.13473860263282833,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.03586081551425899,0.10741498775085392,0.3338529963568692,0.7393325129908677,0.3486359697587543,0.003334556136889155,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.0014041296983091367,0.09822492492616412,-0.014295044759409323,0.9886288987250688,0.29886281899470624,-0.07282436129725678,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.013332216769905772,0.08876736929507843,0.15019276650620483,0.8809769222064242,0.3241295113169427,-0.03416327786443696,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.008773951433279548,0.048688198963988294,-0.18020694172255391,0.8574241478840251,0.372356796868451,0.036119366619406845,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.0008672758912754907,0.04222300646443607,-0.020540363273420303,0.9836610265203125,0.36024577488257525,0.017520297141097596,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.015871226251328568,0.035551163027461134,-0.4464333906339154,0.6564329950616437,0.3624178405456375,0.020855969409371844,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.029369843411227812,0.05150949587742809,0.5701830878158125,0.5700754972711124,0.33137503031112836,-0.026816917736481427,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.041608230114864635,0.04783607858782719,0.8698085491784574,0.38688379147868135,0.3581619371525181,0.014320117769938467,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.03247118758845807,0.038454789995053196,0.8443990356633113,0.40084495164047373,0.2647119463008025,-0.1291923681809104,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,-0.029394687121581897,0.11869489053394236,-0.2476491362800162,0.8050175030751502,0.3482428698744894,0.0027330659525319767,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.10688474271479592,0.10787103258840067,-0.9908567680318024,0.3246353944375958,0.30705782342027477,-0.060285017176205935,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.09296062845363146,0.0975405234805421,-0.95304623285291,0.34333395880683515,0.331264026538331,-0.023246609995565715,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.04555266702078266,0.039834327482463655,1.1435530583724904,0.25605757113456684,0.38173924414995486,0.05052812494457348,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.0024364850738116065,0.03480502347077022,-0.07000383366664882,0.9443569967191252,0.3602798826855469,0.017572676981375546,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.027297275936693913,0.029189297178282163,0.9351809935665056,0.3523757464447205,0.3674904343754053,0.028646024219372346,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.02717928136711338,0.042439748638824236,0.6404204133822213,0.5236424854669193,0.33204856174862885,-0.025782565886034448,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.01927009900258546,0.039554351600035446,0.4871802525658944,0.6273995445631799,0.35420577441231615,0.008244582133199785,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.018714531449741098,0.03176837165771885,0.5890931915358015,0.5573797373987076,0.2615215560492058,-0.13409189606729122,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.11861329300932208,0.0970077866477214,1.2227193002563796,0.2248963375742971,0.3593018888046833,0.019654697327647908,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,0.028215801330571534,0.08938993214242122,0.3156485373052581,0.7530616152397891,0.29970173755203455,-0.07154071483001934,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.07229999581054206,0.08045194433927809,0.8986730700459142,0.37142652868264514,0.3304606281374408,-0.02447590634391572,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.0013621854960618272,0.04882997182706322,0.027896503829372636,0.9778108671435826,0.37211996591786023,0.035755661945285344,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.00301049485129176,0.04233679873380252,0.07110823069596243,0.9434806440220636,0.36028106947575833,0.017574499552057365,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.011964352219385256,0.03566634117203049,0.33545218898897566,0.7381203620619934,0.3617600795817688,0.019845836500573477,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.049888252732522884,0.05146252562781128,-0.9694093347327355,0.3351240394062889,0.33621337094741166,-0.01938660890218924,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.0808426341202724,0.047367567828558596,-1.7067085735301613,0.09157066008087938,0.3740857868555054,0.0387746012423833,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.05607426795089937,0.03823640209999751,-1.4665152804976653,0.14624179180859923,0.27698222000640993,-0.11034873356158492,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.07374147025332226,0.11893765050978186,0.6200010672588281,0.5369555845940815,0.3507680901015694,0.0065969571433652785,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,0.10601264651512339,0.10831707518301466,0.9787251579310311,0.33055995874801425,0.3068606138858786,-0.06058677152401715,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.11010400154391412,0.09771979828876753,1.126731772598942,0.2631029448661499,0.33413061128923227,-0.018860389955030143,sensitivity
