fc_var,condition,seed_target,persistence_var,n,r,p,tier
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.10043557892649047,0.2555553037382492,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.08452701200859974,0.33899110016828604,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.08358836745991037,0.3444010123485457,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.06276851085416116,0.4815120071197595,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,0.02326774473986151,0.7943258667116107,sensitivity
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.03391606831001648,0.7038996049186669,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.059180827854599063,0.5036008587195996,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.10016220821023936,0.2568579050162704,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.013642366295806799,0.8775689169002762,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.031835137995074314,0.7191747877168578,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.04695616205079984,0.5957621462953284,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.025609136222921283,0.7724157580418222,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,-0.07349253590598892,0.4096940133375859,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.0928952550465595,0.2969774796705788,sensitivity
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.08156674260535286,0.36003627253612347,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.0028385020065536636,0.974431070146312,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.0020258140245497294,0.9817501638502889,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.028750602468974717,0.7454017628074416,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.040888614929564276,0.64415839872413,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.06220378272158087,0.48201611196090044,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.03289788786115121,0.7102119002610406,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_L,128,-0.027994015962143612,0.753771151703885,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.04133434954773456,0.6431813408590918,sensitivity
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.04141397066367555,0.6425413710843713,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.030106922592635102,0.7338313367159862,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.006974381080683545,0.9372289999247186,secondary
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.0005204396246524315,0.9953111676122378,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.06214804525964511,0.48240954189215474,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.03867741999609543,0.6621876357500028,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.05777220955454932,0.5138283169641633,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.020843237605492438,0.8153526761820561,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.01607766437915963,0.85705422872732,sensitivity
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.020163091571356012,0.8212756961801874,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.047907235315853065,0.5883270752872626,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.009345622300871118,0.915955548099541,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.08799696242921015,0.31946284482662546,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.1252804482915472,0.15554279288883896,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.11267623799464989,0.20182557548053073,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.036478886655447344,0.6803075924533712,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.06512667998027215,0.4651627816630696,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.042775716933718205,0.6316369761016076,sensitivity
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.0733904547916399,0.41034652017580564,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.009551655071147427,0.9141097242252443,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.053046919368220966,0.5489004043212256,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.04422742015077717,0.61732546087914,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,0.15912313962346253,0.07055982612574166,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.035990400350829815,0.6843589645815916,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.13910814816251235,0.11446389771238356,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.003409335313160275,0.9695330452329306,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.017032734743077628,0.8486612480718926,sensitivity
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,0.0062785952533852,0.9439245937849364,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.08407308330281582,0.34160057150114576,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,0.0030405635020874233,0.9726116044411376,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.09746072823069948,0.26997534934513373,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.20261126081239186,0.0207862665219904,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,0.08388047461315087,0.3427116373289072,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.10025511773230864,0.2564146846316926,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_concat_z_L,128,0.04974528034570172,0.5770984080816078,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_concat_z_R,128,0.030188748781122356,0.7351572234276968,sensitivity
r_amyg-ant_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,0.059516874127666416,0.5045530550856606,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,130,0.036577082564780566,0.6794942773961735,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.05628546673864531,0.5247377012245322,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.041121201251432614,0.6422737167506368,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.20662280740575112,0.018342999975331738,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.06929903221774053,0.433367729157391,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,-0.18378717590840704,0.03633830040695376,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_concat_z_L,128,-0.02242369987280665,0.8016300299885804,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_concat_z_R,128,-0.030928326901547083,0.7289185755452537,sensitivity
r_amyg-ant_vmPFC_neg_vs_pos,neg_vs_pos,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,128,-0.02451287073608699,0.7835834685032652,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.011637287802817605,0.8954522144169146,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.03266316689182994,0.7121881060186366,secondary
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.026724681043368358,0.7627898686217577,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.06611319292051543,0.45485584633118287,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.09146178062301433,0.3007044277552127,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.007352164729248947,0.9338363762920066,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.014492039749335734,0.8710232867459795,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.07943305303934639,0.37278117522761195,sensitivity
r_amyg-post_vmPFC_neg,neg,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.030139975054268024,0.7355692626257937,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.018013830554234604,0.8388051416455612,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.06899794236404172,0.43537337498503037,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.043562996968506004,0.622626633659121,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.12270785639870813,0.16427569638182696,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.015168318681653296,0.8639997136211034,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.10047293602979962,0.25537765153288333,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.034275523500226654,0.7009101807156809,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.07964988088344242,0.3714735622641119,sensitivity
r_amyg-post_vmPFC_neu,neu,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,-0.024953064591654767,0.7797952863020439,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,0.05162658639239931,0.5596659700638684,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,0.013518003102551787,0.8786764132838002,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,0.07212484206443286,0.4148032806377125,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,0.08626172831156863,0.3291356817031424,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,0.04475117441548418,0.6131604553392397,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,130,0.08062026542030458,0.36186354523078634,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_L,128,0.04408671898760986,0.6212131808241125,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_R,128,-0.019338731703364094,0.8284680839436447,sensitivity
r_amyg-post_vmPFC_pos,pos,r_amyg-post_vmPFC,neg_persist_concat_z_bilateral,128,0.016135885261238214,0.8565421271841628,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,130,-0.03094873362368887,0.7266797979568445,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,130,-0.10594178265010254,0.23028108187019514,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,130,-0.07334362763082938,0.4069419862141888,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,130,-0.05701713186076253,0.5193542956101512,sensitivity
r_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,r_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,130,-0.1124504135833155,0.20273670654592588,sensitivity
