fc_var,affect_var,n,beta_fc,se_fc,t_fc,p_fc,r_squared,adj_r_squared,f_stat,f_pvalue
conn_r_amyg_ant_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.09760164762921693,0.07037998025027563,-1.3867814012186326,0.1691777055648278,0.27421926278065833,-0.11459184644398901,0.7052763058326605,0.8995313944051976
conn_r_amyg_post_vmPFC_neg_vs_neu,PA_score,82,-0.0530229424450637,0.31498308113596307,-0.16833584284540107,0.8669598344394087,0.34598389590138834,0.0004659541134425238,1.0013485670556828,0.48477431789328174
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score,82,0.04319131902782866,0.07969720658599347,0.5419426963381098,0.5901292897368272,0.3247756298431632,-0.03194667891893932,0.9104438434764549,0.5973994719046405
conn_r_amyg_post_vmPFC_neg_vs_neu,NA_score_log,82,0.6366549601823377,0.7079652202715889,0.8992743456212506,0.3725742415034322,0.36926243826378913,0.036042594327677646,1.108164609592063,0.3652180603233413
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGP,130,-0.009380736686515845,0.20820008808037987,-0.045056353112080436,0.9641693310781005,0.3744069183256096,0.0392677674286146,1.1171685472243844,0.32597896470018345
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN,130,-0.301230304039146,0.1550122731391389,-1.9432674454671206,0.0553328993319993,0.23550360313853513,-0.17404803803724977,0.5750278584220202,0.978054735043605
conn_r_amyg_post_vmPFC_neg_vs_neu,C5SPGN_log,130,-0.10799156690339265,0.06719454350746205,-1.6071478615134878,0.11177461987412622,0.27974970957762424,-0.10609866029150572,0.7250249875942418,0.8805376773137111
conn_r_amyg_safety_vs_threat,PA_score,82,0.33945961587206425,0.31150207187031703,1.089750748153567,0.28075304150384595,0.35997508543879353,0.02184871548192968,1.064617011340219,0.41176479145108635
conn_r_amyg_safety_vs_threat,NA_score,82,-0.06910873206067825,0.07932774907545596,-0.8711797935290277,0.38758515949984673,0.3306193023464671,-0.0230157832063429,0.9349165731947552,0.5665276446073833
conn_r_amyg_safety_vs_threat,NA_score_log,82,-0.7379632347829364,0.7058905480072616,-1.0454357787708255,0.3005663540069753,0.3725767687286712,0.04110789183061059,1.1240173503325714,0.34911355463889476
conn_r_amyg_safety_vs_threat,C5SPGP,130,-0.21074481757139207,0.2241891285242006,-0.9400313875997907,0.34989683812655903,0.38090452892107407,0.04924624084307794,1.1484848792064466,0.2885330076232422
conn_r_amyg_safety_vs_threat,C5SPGN,130,0.07200468804235191,0.17134040314513369,0.4202434844358363,0.6753806568376438,0.20281108373891477,-0.22425440711523814,0.47489457257078366,0.9963717749453513
conn_r_amyg_safety_vs_threat,C5SPGN_log,130,0.021490421812658728,0.07380609459328961,0.29117408164030695,0.7716359564501214,0.2583512189005004,-0.13896062811708876,0.6502479622488155,0.9423020114717156
