fc_var,condition,seed_target,persistence_var,n,r,p
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.0010310975033477332,0.9900765772270225
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.12620674464328557,0.12639554833777858
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,0.049153837433066956,0.5557410389233612
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,0.06134464151988095,0.4620034026423433
l_amyg-post_vmPFC_neg,neg,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,0.05799055837146916,0.48688920443940015
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,0.05938391155803542,0.47340864321096654
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,0.23621941738001778,0.003847672043635448
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.1695183368499008,0.039424805569791777
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,0.2137360730213564,0.009097235609846028
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,0.08331943707264408,0.3140395262702379
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.18384869978207988,0.0253024763622067
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,0.12541014763198496,0.13148475803997134
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,0.08468731680291702,0.3094807661368464
l_amyg-post_vmPFC_neu,neu,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,0.09388674940711987,0.2596670040150428
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,0.11632016507713464,0.15916623325299245
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,0.16444434262504576,0.045802695304440685
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.14914388595945377,0.07042586333096909
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,0.13007266514907673,0.11509799214140547
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,0.12154142610690777,0.14114531692269333
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.13406489698858498,0.1042727457443489
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,0.11639518101574595,0.16178910102702185
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,0.08686777942677804,0.29714401061467627
l_amyg-post_vmPFC_pos,pos,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,0.10757211387654292,0.1962256156045027
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,0.04662107827971308,0.5736616729800135
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.07200898138810921,0.384448493259524
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.0032952326992440814,0.9682936856744712
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.012481723347441805,0.8803188100292483
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.07123478223469515,0.3895937950684675
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.03645397509814671,0.6600328985448174
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,-0.05751069347877462,0.49050726260528593
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,-0.012043224699702156,0.8852847005872174
l_amyg-post_vmPFC_neg_vs_neu,neg_vs_neu,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,-0.022885651043127436,0.7839406309004394
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.00875680274811146,0.9158760377699527
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.02105258790487209,0.7995169247004854
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.0030733683665641297,0.9704274337278116
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_L,148,0.04461251407883381,0.5903002243814268
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.10221494516484342,0.21638589379206463
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.003580495934031702,0.965550540064904
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_L,146,-0.05484601696322932,0.5108557692334504
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_R,146,-0.019830160030720495,0.8122126619581704
l_amyg-post_vmPFC_neg_vs_pos,neg_vs_pos,l_amyg-post_vmPFC,neg_persist_concat_z_bilateral,146,-0.03993832039786055,0.632209284586815
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,0.01159540545441873,0.8887604780870336
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.02204249074667508,0.7903030675675735
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.014653060166549357,0.8596967669435086
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,-0.08066077160047494,0.3297838032563799
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.05061696033363054,0.541231004057703
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,-0.08568704849211661,0.30043775466179024
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.022364342179483996,0.78874541252283
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.011360463659289298,0.8917473749892607
r_amyg-ant_vmPFC_neg,neg,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,0.00019400593632160762,0.998145691614706
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.06328686953058499,0.44477406947574494
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,-0.03196885533077089,0.6997048510526538
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,-0.10441949646157599,0.20658819391797156
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.12765544868074447,0.12206579205504683
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,-0.10327873017627417,0.2116175540837471
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.04438020963425738,0.5922386903165117
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_L,146,-0.044088122406067964,0.5972239338272776
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_R,146,0.004696986491235688,0.9551296010993111
r_amyg-ant_vmPFC_neu,neu,r_amyg-ant_vmPFC,neg_persist_concat_z_bilateral,146,-0.025062723923359162,0.76396496457275
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_L,148,-0.003987109906304659,0.961641167878762
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_R,148,0.048904835814357187,0.5550151565191733
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,neg_persist_crossrun_mean_z_bilateral,148,0.047889826347540757,0.5632662844850125
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_L,148,0.12096714427159438,0.14304791516197968
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_R,148,0.04070736473496299,0.6232629596829419
r_amyg-ant_vmPFC_pos,pos,r_amyg-ant_vmPFC,pos_persist_crossrun_mean_z_bilateral,148,0.11649854936902648,0.15852339902038773
