fc_var,persistence_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,0.1635830867230908,0.2824542569398649,0.5791489513925717,0.5640385643988801,0.2921438301252345,-0.0870648323076757,0.7704038938638981,0.8299335223446273
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,0.14910027130287223,0.3035387420865964,0.49120672464385284,0.6245612165869929,0.2913528863393091,-0.08827949597891815,0.7674605747806893,0.8334937582484176
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,0.39616437080551503,0.37574997679195593,1.054329727942637,0.29475519512605647,0.29859931017397934,-0.07715105937567457,0.7946746946166893,0.7992364733916347
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,0.03225024696900659,0.12440563855940563,0.259234608193475,0.7960961063384729,0.27917605598060236,-0.10294748060799397,0.7305911027437451,0.8723440597652456
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,0.06897190113315871,0.13598087198259795,0.507217670599916,0.6133471400544936,0.2808216177083557,-0.10042957290408228,0.7365789920740885,0.8660310300474994
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,0.085426618238506,0.15038939432115708,0.5680361878183854,0.571543917189504,0.2813860609913633,-0.09956590667586562,0.7386392114324527,0.8638207345733514
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,130,0.029424566642564515,0.28151557781191827,0.10452198372561532,0.9170042922679403,0.23549678941847985,-0.17405850196447736,0.5750060965474796,0.9780617759902729
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,130,-0.3685285689530193,0.3222050155651305,-1.1437704292300968,0.2559678980939743,0.247122625482178,-0.15620453943808377,0.6127100948705859,0.9631575036723335
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,130,-0.17451463019514538,0.3847145475885955,-0.4536210842272778,0.6512713428923615,0.23726580523690277,-0.17134179910047087,0.5806690886765788,0.9761721877413956
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,130,-0.44411338879966133,0.2611946418942011,-1.7003158471357651,0.09277140072269469,0.26083751959659585,-0.13514238061951356,0.658714039410186,0.9366894355291342
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,130,0.10596810856319774,0.285087934674026,0.371703238456455,0.7110497974586241,0.23665291407766775,-0.17228302480929591,0.5787041234912891,0.9768409843560784
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,130,-0.45370958606680045,0.35155137128970254,-1.2905925651842003,0.2003860583085961,0.2502638176969326,-0.1513805656797107,0.623098014200903,0.9580236051801099
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_L,128,0.0363154508110044,0.11678651488936231,0.3109558568933052,0.7566137852025822,0.23143468481038254,-0.1759975304708603,0.5680323649680656,0.9791943505817899
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_R,128,-0.308719600399326,0.12330154686694308,-2.5037771888820735,0.014246268420926052,0.2845746243740075,-0.09468702053615718,0.7503385280138578,0.8509047398142132
conn_l_amyg_safety_vs_threat,neg_persist_concat_z_bilateral,128,-0.15767181779023845,0.14041563828711057,-1.1228935730637342,0.26472032448760163,0.2420536208026588,-0.15974927901279923,0.6024188001476106,0.9663883253377054
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.19846222156608553,0.2480606791107397,0.8000551408532091,0.4259356886858622,0.28126372855368587,-0.10377355972112534,0.7304843897428982,0.8749533439638271
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,0.026706485612566805,0.2871715293990879,0.0929983751120825,0.9261263032512788,0.2758614455634788,-0.11206992288465756,0.7111088919337014,0.894120380652375
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.3143524014083964,0.3389482118750231,0.9274349012476995,0.35635797209419107,0.28312745351436197,-0.1009114106743727,0.7372364620243743,0.8678506125677661
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.4491338077494817,0.22978950723502264,-1.9545444574634971,0.05396336901462647,0.3072906811430237,-0.06380359681607084,0.8280663416127808,0.7535185144022067
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,130,-0.042366245475565084,0.2523123467779949,-0.1679118997408493,0.867056202233843,0.2760298866570261,-0.11181124549099564,0.711708645053351,0.8935544876131658
conn_r_amyg_ant_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,130,-0.45506789662318353,0.31004836650947054,-1.4677319598433791,0.1459115602092361,0.29389541975326827,-0.08437489109319518,0.7769455104621147,0.8218914153867264
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_L,128,-0.0249623716794427,0.10331355736005546,-0.24161757969911898,0.8096724383601368,0.27513325106296516,-0.10913345921690865,0.715995540864252,0.8870281246410734
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_R,128,-0.10224143216998405,0.11253698529514787,-0.9085140489754374,0.3662371659400727,0.2817659230501973,-0.09898467195933658,0.7400275317840066,0.8623203383799076
conn_r_amyg_ant_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,128,-0.07199764961317853,0.12487802412234598,-0.5765437923860864,0.5658079848813744,0.27751684561390433,-0.1054862723739054,0.7245811654795382,0.8785123481152483
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_L,130,0.029327288913019202,0.25979305291356425,0.11288711758884748,0.9103893987931158,0.28747761908056046,-0.09423079926913935,0.7531340815679618,0.8502898430251521
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,130,-0.22248641755591253,0.2986675728308312,-0.7449299414969681,0.45839324618970234,0.29204640498976686,-0.0872144494800009,0.7700409930206678,0.8303744593003106
conn_r_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,130,0.0194916513792539,0.35546097412692457,0.05483485613893021,0.9564002429288962,0.28739503187230053,-0.0943576296246813,0.7528304602915589,0.8506360142933971
conn_r_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,130,-0.24149103683816459,0.24373563372898932,-0.9907908545973195,0.3246332127142434,0.29560148111748774,-0.08175486828385825,0.7833483697477001,0.8138512566958298
