fc_var,persistence_var,n,beta_persistence,se_persistence,t_persistence,p_persistence,r_squared,adj_r_squared,f_stat,f_pvalue
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_R,148,-0.030475097938241894,0.30866247074445297,-0.09873276094997878,0.9215442301970164,0.26149553801676473,-0.06431525403466254,0.8025993748405031,0.7939206086493362
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_crossrun_mean_z_bilateral,148,0.15545425071825125,0.37724662904381684,0.4120759173177274,0.6811485085467934,0.26265247321294993,-0.06264790625192518,0.8074152069696872,0.7873469009951777
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_L,148,0.18677141099165778,0.27101560498239585,0.6891537149817988,0.49229125538297436,0.26484797705558016,-0.05948379777284041,0.8165958367652729,0.7745774849174168
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_R,148,0.03212004465758589,0.2936921758515746,0.10936636144443507,0.9131267887816489,0.26151155765173717,-0.0642921669136729,0.8026659547878643,0.7938303284998772
conn_l_amyg_post_vmPFC_neg_vs_neu,pos_persist_crossrun_mean_z_bilateral,148,0.27036037116468525,0.3585592132594402,0.754018753853809,0.4525751298756001,0.26551892972154656,-0.05851683657777107,0.8194124147279531,0.7705997543682399
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_L,146,0.04932751057927331,0.11495071404608304,0.4291187835466443,0.6687507319663363,0.25270866049722573,-0.07284400225645804,0.7762451038172815,0.8256569926065496
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_R,146,0.13955346723653178,0.11581685155637761,1.204949585152551,0.23103851703091444,0.26195579465386243,-0.059568413615741944,0.8147311708305562,0.7747050527862356
conn_l_amyg_post_vmPFC_neg_vs_neu,neg_persist_concat_z_bilateral,146,0.14763553950889297,0.12958897305536216,1.139260046808312,0.2572895063870232,0.26084480950135003,-0.061163392300042085,0.8100564148432272,0.7811930465883112
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_L,148,-0.009668656968457645,0.25931639797802475,-0.037285173802533676,0.970330501765627,0.2842034951903003,-0.0315890804610377,0.8999688944685169,0.647748890343462
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_R,148,-0.39285403065106944,0.279909050781718,-1.4035059943718273,0.16350309309932842,0.29775551976686465,-0.012058221512459832,0.9610791262431827,0.5489844492526847
conn_l_amyg_safety_vs_threat,neg_persist_crossrun_mean_z_bilateral,148,-0.24790480405158988,0.3447900507915387,-0.7190021970833318,0.4737835588054492,0.28780334866297186,-0.026401056338658302,0.915974900674861,0.6220007861047563
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_L,148,-0.5439967966170156,0.24279302039249873,-2.2405783977545624,0.027221719730413357,0.31777137082552265,0.016788152072076734,1.0557777013004468,0.40237548220442776
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_R,148,0.034142107181395556,0.2688744006233309,0.12698162079485437,0.8992049345117717,0.2843068773917916,-0.03144008846477098,0.9004263164351246,0.6470163397071564
conn_l_amyg_safety_vs_threat,pos_persist_crossrun_mean_z_bilateral,148,-0.552070293478333,0.32460994282942046,-1.7007189880454183,0.09204275025465143,0.3039323420627523,-0.003156330556621567,0.9897217616993192,0.5031359623432006
